"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Klinik Lengg";38;62;4;23;11;3;14;22;0;23;15;26;17;3;1;55;19;83;35;5;1;7;0;0;0;467;393;18;878
"Uroviva Klinik für Urologie";1;5;1;2;1;1;1;0;0;2;1;0;32;0;0;4;3;26;10;0;0;1;0;0;0;91;1096;14;1201
"Adus Medica";0;3;2;1;0;0;0;2;0;2;0;0;4;0;0;3;2;105;11;0;0;0;0;0;0;135;1082;1;1218
"Klinik Susenberg";1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;10;204;0;214
"Sune-Egge";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;9;123;0;132
"Spitäler mit Zürcher Leistungsauftrag";781;1153;226;4265;118;140;687;1889;85;571;219;341;2579;212;63;4821;1376;8186;2873;1237;184;290;42;70;25;32433;190438;3036;225907
"Geburtshaus Zürcher Oberland";0;0;0;13;0;0;4;3;0;0;0;0;3;0;0;81;10;4;51;0;0;0;0;0;0;169;583;4;756
"Geburtshaus Delphys";0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;16;468;1;485
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;0;15;0;0;4;5;0;2;0;0;3;0;0;81;10;12;53;0;0;0;0;0;0;185;1051;5;1241
"Klinik Im Park";17;91;33;706;5;21;42;215;5;12;6;7;54;3;2;185;189;315;55;61;6;10;3;0;1;2044;4860;114;7018
"Privatklinik Bethanien";17;33;4;109;3;3;2;53;0;4;4;8;12;3;1;41;24;194;36;29;4;2;0;3;0;589;3113;46;3748
"Klinik Lindberg";1;4;5;7;0;0;0;0;0;2;1;0;77;2;2;11;3;9;147;4;0;1;0;0;0;276;1081;10;1367
"Klinik Pyramide am See";16;40;2;86;3;6;12;34;2;20;6;12;20;1;2;45;23;122;26;33;8;8;0;4;0;531;1362;73;1966
"Klinik Tiefenbrunnen";1;2;0;4;0;2;0;6;0;0;0;0;0;0;0;1;0;3;2;2;0;0;0;0;0;23;39;2;64
"Eulachklinik";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2
"Spitäler ohne Zürcher Leistungsauftrag";52;170;44;912;11;32;56;308;7;38;17;27;163;9;7;283;240;643;266;129;18;21;3;7;1;3464;10456;245;14165
"Total Kanton Zürich";833;1323;270;5192;129;172;747;2202;92;611;236;368;2745;221;70;5185;1626;8841;3192;1366;202;311;45;77;26;36082;201945;3286;241313
"Spitäler Schaffhausen";9;6;0;7;0;0;1;0;2;2;1;0;7612;1;0;15;4;10;396;2;3;0;0;0;0;8071;955;345;9371
