"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"HNO1.3";17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;3;0;0;3;0;2
"Hals-Nasen_Ohren";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Hals-Nasen-Ohren";"HNO1.3.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"HNO2";7;0;5;4;4;6;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;31;2;4;0;0;6;0;
"";"KIE1";7;1;1;1;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;16;0;0;2;0;2;0;2
"Neurochirurgie";"NCH1";30;0;0;3;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;37;2;0;0;0;2;0;1
"";"NCH1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"NCH1.1.1";9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;
"";"NCH1.1.1.1";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"NCH1.1.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"NCH3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Neurologie";"NEU1";10;0;3;2;16;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;39;0;0;0;0;0;0;6
"";"NEU2";1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;
"";"NEU2.1";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"NEU3";37;0;19;3;44;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;106;2;0;0;0;2;0;5
"";"NEU3.1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1
"";"NEU4";0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;0;10;0;0;0;0;0;0;
"";"NEU4.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;
"";"NEU4.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;5;0;0;0;0;0;0;1
"Ophthalmologie";"AUG1";10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;2;0;2
"";"AUG1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;
"";"AUG1.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;1
"";"AUG1.3";13;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;20;3;0;0;0;3;0;7
"";"AUG1.4";2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;8;0;3;0;11;0;3
"";"AUG1.5";34;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;51;2;0;0;0;2;0;1
"Endokrinologie";"END1";4;0;3;0;29;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;39;1;0;0;0;1;0;1
"Gastroenterologie";"GAE1";23;0;28;9;173;0;1;0;0;0;0;1;0;4;2;0;0;21;0;0;0;0;0;0;262;16;0;0;0;16;0;8
"";"GAE1.1";6;1;14;5;19;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;46;1;0;0;0;1;0;
"Viszeralchirugie";"VIS1";17;0;13;10;26;1;0;2;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;76;8;1;1;0;10;0;2
"";"VIS1.1";1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;0;
"";"VIS1.2";2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;3;0;
"";"VIS1.3";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1
"";"VIS1.4";2;0;1;4;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;1;0;0;0;1;0;2
"";"VIS1.4.1";0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;4
"";"VIS1.5";1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;
"Haematologie";"HAE1";13;0;9;0;4;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;31;0;0;0;0;0;0;1
"";"HAE1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"HAE2";23;1;13;5;32;0;0;0;0;0;0;1;0;1;1;0;1;12;0;0;0;0;0;0;90;8;0;0;0;8;0;2
"";"HAE3";1;0;2;0;3;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;
"";"HAE4";1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"HAE5";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Gefässe";"GEF1";1;0;3;8;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;7;0;2
"";"ANG1";22;0;2;4;38;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;67;15;0;0;0;15;0;5
"";"GEF2";1;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;2;0;
"";"ANG2";13;0;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;7;0;0;0;7;0;1
"";"GEF3";2;0;3;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;1;0;
"";"ANG3";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;1
"";"RAD1";6;0;1;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;4
"Herz";"HER1";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HER1.1";2;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;
"";"HER1.1.1";10;0;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;8;0;0;0;8;0;
"";"HER1.1.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"HER1.1.3";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"HER1.1.4";4;0;6;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;3;0;1
"";"HER1.1.5";6;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;7;0;0;0;7;0;1
"";"KAR1";2;0;9;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;25;0;0;0;25;0;
"";"KAR1.1";36;0;131;23;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;201;96;0;0;0;96;0;9
"";"KAR1.1.1";14;0;15;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;38;35;0;0;0;35;0;
"";"KAR1.2";3;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;24;0;0;0;24;0;
"";"KAR1.3";3;0;5;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;5;0;
"Nephrologie";"NEP1";8;0;1;2;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;7;0;5
"Urologie";"URO1";49;1;66;19;112;112;0;1;0;2;1;2;0;6;6;1;0;67;0;0;7;0;0;0;452;41;10;1;0;52;0;17
"";"URO1.1";6;0;5;3;14;10;0;1;0;0;0;0;0;3;1;0;0;10;0;0;1;0;0;0;54;5;2;0;0;7;1;
"";"URO1.1.1";3;1;8;5;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;27;3;0;0;0;3;0;1
"";"URO1.1.2";0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"URO1.1.3";3;1;6;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13;1;0;0;0;1;0;
"";"URO1.1.4";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"URO1.1.5";0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"URO1.1.6";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"URO1.1.7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"URO1.1.8";2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"Pneumologie";"PNE1";37;0;13;2;88;1;0;0;1;0;0;3;0;1;0;0;0;6;0;0;0;0;0;0;152;6;0;0;0;6;0;8
"";"PNE1.1";3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"PNE1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"PNE1.3";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"PNE2";4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2
"Thoraxchirurgie";"THO1";0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;2;0;
"";"THO1.1";5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;
"";"THO1.2";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL5";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";26;1;10;23;74;35;0;0;0;2;0;7;39;11;4;37;0;10;3;0;0;1;0;0;283;33;1;6;0;40;0;35
"";"BEW2";4;0;3;9;18;23;0;0;0;1;0;0;18;6;0;7;0;7;2;0;0;3;0;0;101;16;1;5;0;22;0;5
"";"BEW3";2;2;5;0;22;4;0;1;0;0;0;0;8;1;1;3;0;1;0;0;0;0;0;0;50;24;0;2;0;26;0;5
"";"BEW4";0;0;0;3;2;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;11;3;0;0;0;3;0;1
"";"BEW5";1;1;1;72;85;57;0;0;0;1;0;0;16;1;0;8;0;12;2;0;0;0;0;0;257;31;10;2;0;43;0;41
"";"BEW6";1;0;0;5;13;73;1;0;0;1;0;1;32;0;2;15;0;7;0;0;0;0;0;0;151;25;5;5;0;35;0;20
"";"BEW7";1;1;2;32;60;158;0;0;0;4;2;3;64;2;1;18;0;2;0;0;0;0;0;0;350;22;9;4;0;35;0;22
"";"BEW8";12;0;22;29;30;23;0;0;0;17;0;0;40;0;5;15;0;0;0;0;0;0;0;0;193;36;3;1;0;40;0;25
"";"BEW8.1";1;0;0;3;1;1;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;11;3;1;1;0;5;0;4
"";"BEW9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"";"BEW10";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;1
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Rheumatologie";"RHE1";13;0;3;2;26;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;2;5
"";"RHE2";7;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;1
"Gynäkologie";"GYN1";49;0;14;23;242;13;0;2;0;4;0;0;0;1;1;0;1;18;0;0;0;0;0;0;368;54;14;0;0;68;0;12
"";"GYN1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"GYN1.2";2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"GYN1.3";1;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;13;2;1;0;0;3;0;
"";"GYN1.4";3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"GYN2";14;0;4;10;16;3;0;0;0;1;0;0;0;0;1;0;0;8;2;0;0;0;0;0;59;16;5;5;0;26;0;
"";"PLC1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"GEB1";105;1;59;37;511;0;2;0;0;23;0;0;0;0;1;0;2;172;0;0;0;0;0;0;913;100;17;0;0;117;0;28
"";"GEB1.1";9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;
"";"GEB1.1.1";4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"NEO1";64;1;48;24;404;0;1;0;2;21;0;0;0;0;1;0;1;131;0;0;0;0;0;0;698;95;13;0;0;108;0;18
"";"NEO1.1";18;4;7;0;2;0;0;0;0;0;0;0;0;26;0;0;0;4;0;0;0;0;0;0;61;0;1;0;0;1;0;5
"";"NEO1.1.1";9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;
"";"NEO1.1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";3;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;23;8;0;0;0;8;0;
"";"RAO1";10;0;29;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;
"";"NUK1";4;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;0;0;0;1;0;1
"Schwere Verletzungen";"UNF1";1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2
"";"UNF1.1";3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;
"";"UNF2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Total";;1305;34;1086;590;4928;700;15;21;13;99;7;47;239;287;65;123;16;770;41;15;10;12;8;6;10437;1002;114;83;1;1200;4;615
