"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"HAE5";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"Gefässe";"GEF1";17;10;1;11;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;3;2;0;0;0;0;5;0;
"";"ANG1";98;14;7;11;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;135;5;2;0;0;0;0;7;0;1
"";"GEF2";9;6;1;5;0;0;6;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;
"";"ANG2";29;13;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;3;0;0;0;0;0;3;0;1
"";"GEF3";10;1;0;13;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;1
"";"ANG3";11;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;
"";"RAD1";16;1;1;1;0;0;4;0;0;2;6;1;0;0;0;0;0;0;0;0;0;0;0;0;32;0;1;0;0;0;0;1;0;2
"Herz";"HER1";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"HER1.1";8;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;
"";"HER1.1.1";27;0;4;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;1;0;0;0;0;0;1;0;1
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"HER1.1.3";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;0;
"";"HER1.1.4";16;0;1;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;39;3;0;0;0;0;0;3;0;
"";"HER1.1.5";16;0;4;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;33;1;0;0;0;0;0;1;0;
"";"KAR1";16;0;3;25;0;0;38;1;0;7;3;7;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;1
"";"KAR1.1";306;12;52;243;0;0;48;0;0;0;8;0;0;3;0;0;0;0;0;0;0;0;0;0;672;26;0;0;0;0;0;26;0;14
"";"KAR1.1.1";74;1;10;33;0;0;0;0;0;0;10;0;0;3;0;0;0;0;0;0;0;0;0;0;131;15;0;0;0;0;0;15;0;1
"";"KAR1.2";22;0;2;13;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;43;10;0;0;0;0;0;10;0;1
"";"KAR1.3";22;0;2;14;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;43;2;0;0;0;0;0;2;0;1
"Nephrologie";"NEP1";19;8;1;1;0;0;28;0;1;19;7;1;0;1;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;2
"Urologie";"URO1";115;32;16;96;1;8;401;3;1;73;51;10;0;14;14;2;0;0;1;0;24;0;0;0;862;12;47;1;0;0;0;60;0;17
"";"URO1.1";11;4;2;9;0;0;30;0;0;16;10;1;0;3;1;0;0;0;0;0;2;0;0;0;89;1;3;0;2;0;0;6;0;4
"";"URO1.1.1";6;3;2;8;0;3;17;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;43;0;0;0;0;0;0;0;0;
"";"URO1.1.2";3;0;2;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;
"";"URO1.1.3";6;2;4;4;0;0;13;1;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;2
"";"URO1.1.4";1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"URO1.1.5";1;1;3;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;
"";"URO1.1.6";1;0;0;2;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1
"";"URO1.1.7";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
"";"URO1.1.8";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"Pneumologie";"PNE1";83;9;3;17;0;0;239;0;6;27;18;10;0;11;3;1;0;0;0;0;0;0;1;0;428;4;0;0;0;0;0;4;0;17
"";"PNE1.1";8;0;0;3;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;2
"";"PNE1.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;
"";"PNE1.3";7;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1
"";"PNE2";6;5;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;
"Thoraxchirurgie";"THO1";8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;2;0;1
"";"THO1.1";11;2;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;
"";"THO1.2";6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL5";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";47;28;3;84;2;12;169;3;3;45;16;8;118;16;4;98;0;7;7;0;0;1;0;0;671;22;26;2;9;0;0;59;0;46
"";"BEW2";12;7;0;22;0;8;47;1;0;25;10;6;52;6;2;36;0;1;5;0;0;2;0;0;242;4;10;1;9;0;0;24;0;10
"";"BEW3";15;3;0;14;0;1;52;0;0;6;2;0;7;4;3;4;0;0;1;0;0;0;0;0;112;6;6;1;2;0;0;15;1;8
"";"BEW4";0;0;0;5;0;0;10;0;0;2;0;0;12;0;1;3;0;0;0;0;0;0;0;0;33;1;7;0;0;0;0;8;0;
"";"BEW5";4;8;1;100;0;37;158;0;3;36;12;6;36;1;1;34;0;7;5;0;0;9;0;0;458;13;60;4;1;0;0;78;0;24
"";"BEW6";2;4;1;42;0;30;87;1;1;15;16;6;121;0;12;53;0;4;0;0;0;0;0;0;395;9;26;1;6;0;0;42;0;16
"";"BEW7";9;32;1;81;1;32;144;0;4;50;63;8;203;1;4;81;0;8;0;0;0;0;0;0;722;9;69;6;9;0;0;93;0;12
"";"BEW8";34;70;6;81;1;7;2;0;0;77;0;0;85;1;1;81;0;0;0;0;0;0;0;0;446;17;9;0;0;0;0;26;0;14
"";"BEW8.1";2;3;0;2;0;0;0;0;0;7;0;0;3;2;0;3;0;0;0;0;0;0;0;0;22;6;1;0;0;0;0;7;0;4
"";"BEW9";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"BEW10";1;0;0;3;0;0;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;11;1;0;0;0;0;0;1;1;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"Rheumatologie";"RHE1";33;11;5;10;0;1;40;0;0;7;4;1;8;2;3;18;0;1;1;0;0;0;0;1;146;2;1;0;6;0;0;9;0;4
"";"RHE2";4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;
"Gynäkologie";"GYN1";148;15;8;62;14;12;180;4;3;74;52;1;0;2;5;0;0;0;4;0;1;0;0;0;585;11;33;2;5;0;1;52;2;20
"";"GYN1.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"GYN1.2";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"GYN1.3";6;2;0;9;0;0;16;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;1;0;46;0;0;0;0;0;0;0;0;
"";"GYN1.4";6;1;0;1;0;0;8;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;20;0;1;0;1;0;0;2;0;
"";"GYN2";26;9;2;27;0;0;23;0;1;15;11;0;0;0;3;0;0;2;23;0;0;0;0;0;142;0;7;1;12;0;0;20;0;2
"";"PLC1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;1
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"GEB1";374;37;31;113;5;0;766;9;53;494;146;0;0;0;22;0;0;28;0;0;0;0;0;0;2078;9;54;0;0;0;0;63;1;21
"";"GEB1.1";23;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;1
"";"GEB1.1.1";10;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;1
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NEO1";241;31;26;100;4;0;584;10;46;449;113;0;0;4;17;0;0;19;0;0;0;0;0;0;1644;6;43;0;0;0;0;49;1;10
"";"NEO1.1";34;5;1;1;0;0;9;0;2;24;1;0;0;23;1;0;0;1;0;0;0;0;0;0;102;0;1;0;0;0;0;1;0;6
"";"NEO1.1.1";12;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;1
"";"NEO1.1.1.1";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2
"(Radio-)Onkologie";"ONK1";14;13;2;6;0;0;12;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;51;0;2;0;0;0;0;2;0;
"";"RAO1";21;17;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;47;0;0;0;0;0;0;0;0;4
"";"NUK1";27;4;5;4;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;1
"Schwere Verletzungen";"UNF1";6;2;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;2
"";"UNF1.1";7;1;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;1
"";"UNF2";2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;
"Total";;4004;953;391;2092;47;203;8290;83;249;2341;1159;340;685;696;217;467;5;94;141;40;33;56;17;8;22611;275;496;26;158;2;1;958;9;788
