"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"NCH1.1.1";13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH1.1.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"NCH2.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"";"NCH3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Neurologie";"NEU1";19;15;1;1;0;0;1;0;32;0;0;1;0;13;0;1;0;0;0;7;0;0;0;0;91;0;0;0;0;0;0;1;2
"";"NEU2";6;3;2;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;
"";"NEU2.1";5;5;0;1;0;0;0;0;5;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;2
"";"NEU3";65;31;1;21;0;0;0;1;94;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0;0;0;0;0;1;11
"";"NEU3.1";6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"NEU4";0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;23;0;0;0;0;30;0;0;0;0;0;0;0;
"";"NEU4.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NEU4.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;24;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";17;5;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;1;0;1;0;2
"";"AUG1.1";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"AUG1.2";2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;3
"";"AUG1.3";16;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;33;3;0;0;0;0;3;0;8
"";"AUG1.4";5;109;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;133;3;0;0;8;0;11;0;
"";"AUG1.5";83;4;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;122;0;0;0;0;0;0;0;5
"Endokrinologie";"END1";13;3;1;2;0;0;2;0;45;0;0;2;1;6;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;5
"Gastroenterologie";"GAE1";54;41;15;36;0;0;3;5;277;5;1;28;0;8;0;0;0;0;0;0;0;0;0;0;473;5;1;0;0;0;6;2;20
"";"GAE1.1";16;25;1;4;0;0;0;1;39;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;91;2;1;0;0;0;3;0;1
"Viszeralchirugie";"VIS1";44;30;17;24;4;0;0;5;56;0;1;9;0;9;1;0;0;0;0;0;0;0;0;0;200;3;3;0;0;0;6;5;9
"";"VIS1.1";0;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;
"";"VIS1.2";2;6;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;0;3;0;
"";"VIS1.3";2;1;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"VIS1.4";24;0;1;6;0;0;0;29;2;0;9;2;0;0;7;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;1;25
"";"VIS1.4.1";1;0;0;12;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;8
"";"VIS1.5";4;6;3;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0;0;1;0;
"Haematologie";"HAE1";31;1;0;7;0;0;0;0;7;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;69;1;0;0;0;0;1;0;3
"";"HAE1.1";8;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;
"";"HAE2";32;16;1;10;0;0;0;0;52;2;0;5;0;6;0;1;0;1;0;0;0;0;0;0;126;0;0;0;0;0;0;0;2
"";"HAE3";4;2;0;1;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;0;0;0;0;1;0;1
"";"HAE4";3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"HAE5";1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"Gefässe";"GEF1";8;28;6;7;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;52;1;6;0;0;0;7;0;2
"";"ANG1";49;42;7;7;0;0;0;1;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;138;4;3;0;0;0;7;0;3
"";"GEF2";5;9;4;4;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;
"";"ANG2";22;25;4;7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;2
"";"GEF3";4;3;2;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;
"";"ANG3";7;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"RAD1";6;2;0;1;0;0;0;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;2;0;1
"Herz";"HER1";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"";"HER1.1";3;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1
"";"HER1.1.1";12;0;21;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;3;0;0;0;0;3;0;1
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HER1.1.3";10;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;1;0;
"";"HER1.1.4";11;0;21;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;42;1;0;0;0;0;1;0;1
"";"HER1.1.5";4;0;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;0;0;0;0;2;0;
"";"KAR1";19;5;12;8;0;0;0;0;27;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;76;5;0;0;0;0;5;0;
"";"KAR1.1";197;32;229;104;0;0;0;0;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;573;39;0;0;0;0;39;0;14
"";"KAR1.1.1";49;4;26;20;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;105;20;0;0;0;0;20;0;2
"";"KAR1.2";13;2;3;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;24;10;0;0;0;0;10;0;1
"";"KAR1.3";9;2;10;9;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2;0;0;0;0;2;0;
"Nephrologie";"NEP1";26;18;1;6;0;0;1;1;26;4;0;8;0;2;0;0;0;0;0;0;0;0;0;0;93;2;0;0;0;0;2;0;2
"Urologie";"URO1";126;74;26;50;2;11;10;8;116;8;1;31;0;10;2;0;0;1;0;0;469;3;0;0;948;13;21;4;2;0;40;1;31
"";"URO1.1";10;8;0;5;0;2;0;2;4;2;0;3;0;7;0;0;0;0;0;0;71;0;0;0;114;1;0;0;0;0;1;0;3
"";"URO1.1.1";10;9;0;4;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;39;0;0;0;66;0;0;0;0;0;0;0;1
"";"URO1.1.2";5;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"URO1.1.3";5;5;3;4;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;4;0;0;0;29;0;0;0;0;0;0;0;
"";"URO1.1.4";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1
"";"URO1.1.5";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;
"";"URO1.1.6";1;2;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;12;0;0;0;0;0;0;0;1
"";"URO1.1.7";2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;
"";"URO1.1.8";1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;20;0;0;0;0;0;0;0;
"Pneumologie";"PNE1";68;35;9;17;2;0;3;0;136;3;3;18;0;9;1;0;0;0;0;0;1;0;0;0;305;3;0;1;0;0;4;1;10
"";"PNE1.1";3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;3
"";"PNE1.2";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"PNE1.3";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"PNE2";5;15;0;0;0;0;0;0;3;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;1
"Thoraxchirurgie";"THO1";3;0;2;2;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;2
"";"THO1.1";10;8;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1;0;0;0;0;1;0;1
"";"THO1.2";9;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"TPL3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL5";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";53;54;10;58;0;17;4;3;179;6;1;13;111;13;2;91;0;2;6;0;0;10;0;0;633;25;16;4;1;0;46;1;41
"";"BEW2";11;15;1;18;1;10;0;4;47;7;2;6;42;7;2;24;0;0;3;0;0;23;0;0;223;5;6;5;9;0;25;0;7
"";"BEW3";10;17;0;11;0;0;0;4;41;0;1;1;10;5;1;3;0;0;0;0;1;0;0;0;105;3;8;2;3;0;16;0;7
"";"BEW4";0;0;0;5;0;2;0;0;6;2;0;0;24;0;0;3;0;0;0;0;0;0;0;0;42;1;2;0;0;0;3;0;
"";"BEW5";7;17;3;81;1;55;4;2;114;6;0;8;67;1;0;27;1;11;6;0;0;37;0;0;448;14;56;15;0;0;85;1;31
"";"BEW6";2;14;1;29;0;24;1;0;49;10;0;9;137;0;9;43;0;2;0;0;0;0;0;0;330;3;16;2;4;0;25;0;22
"";"BEW7";2;64;3;60;1;25;0;2;318;6;4;5;156;4;1;59;1;8;0;0;0;0;0;0;719;8;31;9;4;0;52;1;17
"";"BEW8";29;83;10;75;4;1;0;0;1;43;0;0;90;0;3;52;0;1;0;0;0;0;0;0;392;27;9;2;2;0;40;0;7
"";"BEW8.1";0;7;0;2;1;0;0;0;0;2;0;0;5;0;0;5;0;0;0;0;0;0;0;0;22;1;1;0;0;0;2;0;4
"";"BEW9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"BEW10";0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;2;0;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Rheumatologie";"RHE1";39;14;2;4;0;1;0;0;49;2;1;4;3;2;0;4;0;0;0;0;0;1;0;0;126;0;1;0;7;0;8;0;3
"";"RHE2";11;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;
"Gynäkologie";"GYN1";157;35;23;43;11;9;5;15;159;13;1;1;0;4;2;0;0;3;6;0;14;4;0;0;505;13;23;3;0;0;39;3;25
"";"GYN1.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"GYN1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"GYN1.3";12;1;0;4;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;29;0;0;0;0;0;0;0;
"";"GYN1.4";1;2;0;2;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1
"";"GYN2";20;18;4;21;0;2;1;2;58;1;0;0;0;0;4;0;0;1;25;0;0;0;0;0;157;1;7;0;16;0;24;1;5
"";"PLC1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"GEB1";400;80;69;72;9;0;47;44;1281;114;7;0;0;0;3;0;0;11;0;0;0;0;0;0;2137;21;56;1;0;0;78;6;31
"";"GEB1.1";26;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;1
"";"GEB1.1.1";5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NEO1";263;58;52;66;10;0;36;37;1121;99;4;0;0;2;4;0;0;10;0;0;0;0;0;0;1762;16;49;0;0;0;65;5;15
"";"NEO1.1";28;17;4;1;0;0;0;0;63;8;0;0;0;27;0;0;0;0;0;0;0;0;0;0;148;1;2;0;0;0;3;0;6
"";"NEO1.1.1";18;3;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;1
"";"NEO1.1.1.1";6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";18;28;8;3;0;0;0;0;6;0;0;2;0;5;0;0;0;0;0;0;0;0;1;0;71;0;0;0;0;0;0;0;4
"";"RAO1";30;29;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;79;0;0;0;0;0;0;0;1
"";"NUK1";15;20;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;3
"Schwere Verletzungen";"UNF1";8;1;0;1;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1
"";"UNF1.1";4;4;0;0;0;0;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;
"";"UNF2";2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
"Total";;3686;2096;876;1346;65;230;211;246;8772;390;63;526;674;829;84;361;11;56;122;55;747;384;13;3;21846;333;371;62;120;5;891;50;909
