"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"NEU2";43;25;17;7;4;0;14;11;9;3;10;8;0;1;6;0;2;0;0;0;0;0;0;0;160;1;0;0;0;0;0;1;2;5
"";"NEU2.1";55;14;3;6;0;0;9;2;5;5;4;0;0;21;3;0;3;1;0;0;0;0;3;0;134;1;0;0;0;0;0;1;0;4
"";"NEU3";691;363;266;234;59;0;116;132;100;54;157;154;0;8;102;0;27;2;0;0;0;0;2;0;2467;9;2;0;0;0;0;11;14;103
"";"NEU3.1";54;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;7
"";"NEU4";4;0;0;23;0;0;0;0;1;0;0;0;0;40;0;0;0;0;0;175;0;0;0;0;243;0;0;0;0;0;0;0;0;2
"";"NEU4.1";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;38;0;0;0;0;0;0;0;0;
"";"NEU4.2";28;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;143;0;0;0;0;172;0;0;0;0;0;0;0;0;1
"Ophthalmologie";"AUG1";172;54;24;3;0;1;0;0;2;0;1;1;0;3;0;0;0;0;2;0;0;0;0;0;263;13;1;0;2;0;0;16;1;15
"";"AUG1.1";75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;80;0;0;0;0;0;0;0;0;
"";"AUG1.2";42;13;0;6;0;1;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;66;0;0;1;5;6;0;12;0;13
"";"AUG1.3";138;94;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;290;59;0;0;0;0;0;59;0;76
"";"AUG1.4";83;520;80;130;0;0;0;8;0;36;1;0;0;2;0;0;0;0;19;0;0;3;0;0;882;67;0;0;128;0;0;195;0;7
"";"AUG1.5";551;50;315;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;956;14;0;0;0;0;0;14;0;64
"Endokrinologie";"END1";92;48;60;20;38;0;67;24;45;38;32;47;1;37;20;1;7;0;0;1;0;0;1;1;580;3;1;0;0;0;0;4;6;22
"Gastroenterologie";"GAE1";567;549;704;356;233;0;519;354;294;226;337;477;0;61;297;0;115;49;0;0;0;0;0;0;5138;72;16;1;0;0;0;89;23;131
"";"GAE1.1";151;141;140;76;21;0;28;71;41;36;87;86;0;1;47;0;15;1;0;0;0;0;0;0;942;14;12;1;0;0;0;27;5;24
"Viszeralchirugie";"VIS1";357;287;248;248;51;3;55;125;63;31;84;80;0;59;79;0;10;1;0;0;0;0;0;0;1781;39;18;5;1;0;0;63;26;66
"";"VIS1.1";23;30;36;23;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;115;5;1;0;0;0;0;6;1;1
"";"VIS1.2";22;38;28;25;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;115;9;0;0;0;0;0;9;0;1
"";"VIS1.3";19;7;8;22;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;2
"";"VIS1.4";144;0;22;45;1;0;0;162;2;0;116;20;0;0;67;0;0;0;0;0;0;0;0;0;579;1;1;2;1;0;0;5;10;115
"";"VIS1.4.1";16;0;1;96;1;0;0;67;1;0;15;1;0;0;2;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;47
"";"VIS1.5";21;37;27;18;0;0;10;11;5;1;0;10;0;0;10;0;0;0;0;0;0;0;0;0;150;3;7;0;0;0;0;10;0;3
"Haematologie";"HAE1";176;33;28;37;5;0;20;7;8;6;9;6;0;160;3;0;2;1;0;0;0;0;2;0;503;2;0;0;0;0;0;2;1;7
"";"HAE1.1";49;0;0;7;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;68;3;0;0;0;0;0;3;0;2
"";"HAE2";264;127;175;89;38;0;93;38;54;37;39;69;1;32;37;4;24;16;0;0;0;0;1;1;1139;25;8;1;0;0;0;34;4;26
"";"HAE3";29;20;25;14;5;0;34;9;8;10;6;9;0;2;13;0;5;2;0;0;0;0;0;0;191;3;4;0;0;0;0;7;1;2
"";"HAE4";16;0;6;9;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;1
"";"HAE5";8;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;1
"Gefässe";"GEF1";101;149;65;66;5;0;1;31;1;1;0;7;0;3;5;2;1;0;0;0;0;0;0;0;438;30;16;0;0;0;0;46;1;15
"";"ANG1";467;238;135;83;47;0;1;51;32;5;4;66;0;2;21;0;5;0;0;0;0;0;0;0;1157;49;16;0;0;0;0;65;0;25
"";"GEF2";38;58;47;31;2;0;7;7;3;2;3;3;0;3;2;0;1;0;0;0;0;0;0;0;207;8;0;0;0;0;0;8;0;7
"";"ANG2";177;136;65;126;0;0;0;5;1;1;2;10;0;3;1;0;0;0;0;0;0;0;0;0;527;38;3;0;0;0;0;41;0;14
"";"GEF3";50;23;33;53;0;1;2;15;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;181;9;0;0;0;0;0;9;2;5
"";"ANG3";56;16;14;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;3;0;0;0;0;0;3;0;1
"";"RAD1";95;23;20;19;2;0;5;10;3;5;57;16;1;2;6;0;0;0;0;0;0;0;0;0;264;10;1;0;0;0;0;11;1;11
"Herz";"HER1";4;4;2;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;3;0;0;0;0;0;3;0;2
"";"HER1.1";42;2;13;9;0;0;0;0;0;0;1;0;0;29;0;0;0;0;0;0;0;0;0;0;96;3;0;0;0;0;0;3;0;5
"";"HER1.1.1";185;0;135;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439;26;0;0;0;0;0;26;0;5
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;
"";"HER1.1.3";51;0;9;9;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;92;6;0;0;0;0;0;6;0;1
"";"HER1.1.4";97;0;92;99;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;295;15;0;0;0;0;0;15;0;8
"";"HER1.1.5";72;0;58;69;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;201;29;0;0;0;0;0;29;0;7
"";"KAR1";123;107;160;145;27;0;46;24;33;31;27;87;1;1;15;0;0;0;0;0;0;0;0;0;827;74;0;0;0;0;0;74;1;11
"";"KAR1.1";1488;587;1359;1112;13;0;50;24;9;0;94;9;0;16;17;0;2;0;0;0;0;0;0;0;4780;441;0;0;0;0;0;441;0;139
"";"KAR1.1.1";444;58;198;203;0;0;1;1;0;0;64;2;0;27;0;0;0;0;0;0;0;0;0;0;998;201;0;0;0;0;0;201;0;15
"";"KAR1.2";107;19;51;47;0;0;0;0;0;0;26;0;0;11;0;0;0;0;0;0;0;0;0;0;261;115;0;0;0;0;0;115;0;7
"";"KAR1.3";103;34;61;44;0;0;0;0;1;0;32;2;0;1;0;0;0;0;0;0;0;0;0;0;278;27;0;0;0;0;0;27;0;1
"Nephrologie";"NEP1";215;114;74;23;9;0;33;30;32;77;48;115;0;5;17;1;0;0;0;0;0;0;1;0;794;23;0;0;0;0;0;23;2;25
"Urologie";"URO1";1158;1080;931;621;142;487;699;586;123;271;404;351;0;133;337;17;20;95;2;0;632;4;0;0;8093;220;268;86;5;0;0;579;22;320
"";"URO1.1";114;86;72;59;19;39;40;44;5;56;58;29;0;45;16;0;0;17;0;0;89;0;0;0;788;18;15;3;5;0;0;41;8;35
"";"URO1.1.1";55;82;35;103;0;24;43;38;1;0;1;0;0;0;33;0;0;0;0;0;60;0;0;0;475;10;0;0;0;0;0;10;3;13
"";"URO1.1.2";35;31;22;13;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;2
"";"URO1.1.3";57;33;49;29;0;0;18;14;0;1;11;2;0;8;28;0;0;0;0;0;5;0;0;0;255;6;2;1;0;0;0;9;2;4
"";"URO1.1.4";14;3;5;6;0;0;0;2;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;35;0;0;0;1;0;0;1;0;2
"";"URO1.1.5";9;8;9;4;0;0;2;1;0;0;0;0;0;15;1;0;0;0;0;0;5;0;0;0;54;0;0;0;0;0;0;0;0;
"";"URO1.1.6";15;19;0;14;0;0;4;0;0;0;1;0;0;41;1;0;0;0;0;0;2;0;0;0;97;0;0;0;0;0;0;0;0;4
"";"URO1.1.7";14;9;0;4;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;4;0;0;0;38;0;0;0;0;0;0;0;0;3
"";"URO1.1.8";8;13;19;1;0;0;1;0;0;3;1;0;0;1;0;0;0;0;0;0;15;0;0;0;62;0;0;0;0;0;0;0;0;1
"Pneumologie";"PNE1";582;353;337;134;121;1;269;128;163;100;149;282;1;91;107;3;24;6;0;0;1;0;2;1;2855;58;6;1;0;0;0;65;11;112
"";"PNE1.1";47;5;22;9;1;0;3;0;0;1;7;4;0;2;12;0;0;0;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;9
"";"PNE1.2";108;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;
"";"PNE1.3";33;11;1;0;0;0;0;0;0;0;0;1;0;9;2;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;3
"";"PNE2";51;174;3;0;0;0;1;0;3;1;33;6;0;28;0;0;0;0;0;1;0;0;0;0;301;0;0;0;0;0;0;0;1;18
"Thoraxchirurgie";"THO1";36;5;9;11;0;0;0;0;2;0;4;3;0;7;2;0;0;0;0;0;0;0;0;0;79;6;0;0;0;0;0;6;0;4
"";"THO1.1";69;46;68;29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;2;0;0;0;0;0;2;0;5
"";"THO1.2";31;10;17;10;1;0;0;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;75;4;0;0;0;0;0;4;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"TPL3";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL5";12;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;1
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";426;609;253;518;107;188;226;200;206;172;137;209;872;151;137;696;80;35;51;0;0;26;0;0;5299;240;106;102;48;0;0;496;14;440
"";"BEW2";94;148;44;154;30;152;62;78;50;119;56;65;398;66;47;193;19;23;42;0;0;32;0;2;1874;77;61;28;68;0;0;234;3;96
"";"BEW3";105;225;31;77;32;23;67;129;45;19;27;23;94;40;34;49;14;3;2;0;1;0;0;0;1040;96;51;15;40;0;0;202;7;78
"";"BEW4";1;10;4;24;2;4;11;4;7;12;1;10;109;1;13;22;2;6;0;0;0;0;0;0;243;10;18;3;0;0;0;31;0;10
"";"BEW5";74;157;135;844;103;533;233;86;135;109;65;88;446;16;84;274;128;92;25;0;0;71;0;0;3698;178;285;174;10;0;2;649;4;381
"";"BEW6";19;283;46;258;16;302;116;101;54;78;88;95;860;1;98;339;49;42;0;0;0;0;0;0;2845;86;109;41;55;0;0;291;4;195
"";"BEW7";39;892;130;610;73;566;181;164;364;199;359;104;1343;11;182;574;107;55;0;0;0;0;0;0;5953;142;319;132;35;0;0;628;7;274
"";"BEW8";296;576;295;647;55;56;2;2;1;486;0;4;662;3;31;520;8;1;0;0;0;0;0;0;3645;252;75;50;7;0;0;384;0;167
"";"BEW8.1";23;26;1;22;2;1;0;0;0;53;0;0;29;11;0;26;0;0;0;0;0;0;0;0;194;20;5;1;4;0;0;30;0;23
"";"BEW9";1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;7;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1
"";"BEW10";4;0;0;8;0;4;6;0;1;1;0;0;2;0;0;2;0;0;1;0;0;0;0;0;29;8;0;1;0;0;0;9;1;3
"";"BEW11";3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;
"Rheumatologie";"RHE1";258;187;172;52;34;12;47;32;53;34;47;60;33;25;35;61;14;2;2;0;0;2;0;1;1163;12;7;11;66;0;0;96;10;34
"";"RHE2";69;10;7;1;2;0;1;4;2;3;1;3;0;9;1;0;1;0;0;0;0;0;1;0;115;2;0;0;0;0;0;2;0;4
"Gynäkologie";"GYN1";1224;556;536;482;399;121;255;244;179;273;356;4;0;28;160;0;28;43;18;0;16;4;0;0;4926;245;258;49;15;0;5;572;34;305
"";"GYN1.1";7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;
"";"GYN1.2";9;2;2;1;1;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;20;0;0;0;1;0;0;1;0;
"";"GYN1.3";65;41;42;32;5;2;23;11;10;25;8;5;0;0;10;0;4;11;0;0;0;0;2;0;296;6;9;2;1;0;0;18;0;9
"";"GYN1.4";26;16;12;11;2;0;8;6;4;12;13;0;0;1;4;0;1;2;0;0;0;0;0;0;118;0;4;0;2;0;0;6;1;1
"";"GYN2";198;227;118;178;23;32;29;65;62;50;79;1;0;1;77;0;14;26;168;0;0;0;0;0;1348;42;77;20;125;9;0;273;10;38
"";"PLC1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;14
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"GEB1";3448;2018;2365;942;767;1;1142;1055;1570;2086;1111;2;0;0;502;0;334;529;0;0;0;0;0;0;17872;473;503;9;1;0;0;986;157;642
"";"GEB1.1";140;25;13;2;0;0;1;0;2;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;2;11
"";"GEB1.1.1";54;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;4
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NEO1";2335;1603;1952;821;615;0;881;837;1377;1935;849;0;0;27;411;0;282;436;0;0;0;0;0;0;14361;414;409;0;0;0;0;823;122;474
"";"NEO1.1";229;146;113;14;3;0;14;9;75;86;17;0;0;229;7;0;0;6;0;0;0;0;0;0;948;5;17;0;0;0;0;22;3;53
"";"NEO1.1.1";87;23;3;0;0;0;1;0;4;1;1;0;0;19;0;0;1;1;0;0;0;0;0;0;141;0;0;0;0;0;0;0;0;12
"";"NEO1.1.1.1";50;6;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;7
"(Radio-)Onkologie";"ONK1";120;182;155;32;4;0;14;29;7;5;21;25;0;65;8;0;6;31;0;0;0;0;2;0;706;24;15;1;0;0;0;40;3;21
"";"RAO1";188;152;222;44;0;0;1;1;0;2;7;2;0;1;22;0;0;0;0;0;12;0;0;0;654;0;1;0;0;0;0;1;0;11
"";"NUK1";127;114;80;29;0;0;3;0;0;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;359;4;0;0;0;0;0;4;0;25
"Schwere Verletzungen";"UNF1";65;23;8;1;3;0;1;1;6;3;2;3;0;1;6;1;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;1;29
"";"UNF1.1";61;18;10;1;5;0;8;1;11;3;5;7;0;2;6;1;3;0;0;0;0;0;0;0;142;0;0;0;0;0;0;0;0;12
"";"UNF2";16;3;1;0;0;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;2
"Total";;31336;24721;21741;14382;6865;3572;10742;9855;10048;10211;9893;8791;5115;5830;6451;3220;3260;1973;1007;381;982;1006;176;109;191667;5103;3328;1063;1359;42;8;10903;955;10039
