"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen"
"Neurochirurgie";"NCH1";641;76;0;268;1;0;2;1;0;1;3;0;14;109;0;0;0;0;9;0;0;0;0;0;1125;10;3;1;0;0;0;14;0
"";"NCH1.1";51;1;0;54;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;107;1;0;0;0;0;0;1;0
"";"NCH1.1.1";180;2;2;67;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;0;0;0;0;0;0;0;0
"";"NCH1.1.1.1";46;0;0;14;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0
"";"NCH1.1.2";35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0
"";"NCH1.1.3";20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;0;0;1;0
"";"NCH2";0;0;0;6;1;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
"";"NCH2.1";3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
"";"NCH3";13;20;0;5;2;1;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;45;0;3;0;0;0;0;3;0
"Neurologie";"NEU1";249;104;86;40;27;0;65;46;38;18;58;38;0;118;33;2;15;1;0;63;0;0;2;2;1005;1;1;0;2;0;0;4;78
"";"NEU2";62;24;26;16;3;0;14;15;7;2;12;14;0;2;8;1;3;3;0;0;0;0;2;0;214;1;1;0;0;0;0;2;16
"";"NEU2.1";80;19;10;16;2;0;1;1;7;3;4;2;0;63;5;0;10;0;0;2;0;0;6;0;231;3;0;0;0;0;0;3;7
"";"NEU3";767;410;299;248;84;0;138;152;128;59;145;147;0;54;149;0;34;3;0;0;0;0;5;0;2822;7;1;2;0;0;0;10;146
"";"NEU3.1";115;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0
"";"NEU4";7;0;0;26;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;364;0;0;0;0;474;0;0;0;0;0;0;0;1
"";"NEU4.1";18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;85;0;0;0;0;104;0;0;0;0;0;0;0;0
"";"NEU4.2";51;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343;0;0;0;0;399;0;0;0;0;0;0;0;0
"Ophthalmologie";"AUG1";171;77;17;2;0;0;2;0;1;0;0;0;0;4;0;0;0;0;8;0;0;0;0;0;282;27;3;0;2;0;0;32;2
"";"AUG1.1";126;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;0;2;0;0;136;0;0;0;0;0;0;0;0
"";"AUG1.2";51;5;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;67;2;2;1;13;11;0;29;3
"";"AUG1.3";184;108;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;394;67;0;0;0;0;0;67;0
"";"AUG1.4";93;470;122;126;0;0;0;1;0;37;1;0;0;1;0;0;0;0;19;0;0;2;0;0;872;59;0;0;131;0;0;190;0
"";"AUG1.5";763;75;402;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;1298;29;0;0;0;0;0;29;1
"Endokrinologie";"END1";136;55;68;33;24;0;42;37;59;42;31;43;0;65;31;4;16;3;0;0;1;0;2;0;692;3;1;1;3;0;0;8;49
"Gastroenterologie";"GAE1";772;639;711;431;201;0;504;394;317;232;314;417;0;99;311;0;122;43;0;0;0;0;0;0;5507;127;14;3;1;0;0;145;299
"";"GAE1.1";174;155;133;111;22;0;36;76;83;66;92;79;0;2;42;0;11;2;0;0;0;0;0;0;1084;38;17;1;0;0;0;56;52
"Viszeralchirugie";"VIS1";576;303;277;363;31;2;42;117;85;35;110;80;0;81;110;0;8;2;1;0;1;4;0;0;2228;83;21;17;5;0;0;126;123
"";"VIS1.1";48;29;43;42;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;8;1;0;0;0;0;9;1
"";"VIS1.2";57;43;27;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;16;1;0;0;0;0;17;0
"";"VIS1.3";24;17;17;27;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;93;1;0;1;0;0;0;2;0
"";"VIS1.4";115;2;46;70;0;0;0;175;1;0;129;15;0;0;96;0;0;0;0;0;0;0;0;0;649;0;0;2;2;0;0;4;37
"";"VIS1.4.1";39;0;4;121;2;0;0;118;0;0;20;1;0;0;0;0;0;0;0;0;0;0;0;0;305;0;0;2;2;0;0;4;2
"";"VIS1.5";20;31;32;28;0;0;5;12;9;0;0;8;0;0;10;0;0;0;0;0;0;0;0;0;155;3;1;1;0;0;0;5;8
"Haematologie";"HAE1";303;23;23;19;5;0;8;13;7;9;16;8;0;230;2;0;6;0;0;0;0;0;1;0;673;6;0;0;0;0;0;6;8
"";"HAE1.1";149;0;0;8;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;189;0;0;0;0;0;0;0;0
"";"HAE2";483;176;146;202;20;0;63;42;41;25;42;89;0;21;56;2;22;38;0;0;0;0;5;0;1473;32;5;1;0;0;0;38;49
"";"HAE3";61;26;23;20;9;0;20;7;10;10;8;24;0;0;13;2;8;0;0;0;0;0;0;0;241;5;4;1;0;0;0;10;15
"";"HAE4";46;0;12;25;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0
"";"HAE5";45;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0
"Gefässe";"GEF1";130;157;60;87;5;0;0;40;1;0;0;10;2;4;2;6;0;0;0;0;0;0;0;0;504;57;4;0;0;0;0;61;16
"";"ANG1";397;254;110;153;52;0;1;37;31;2;2;74;0;5;35;3;2;0;0;0;0;0;0;0;1158;102;29;0;0;0;0;131;29
"";"GEF2";61;54;71;57;3;0;6;2;2;0;3;1;0;4;0;0;0;1;0;0;0;0;0;0;265;17;0;0;0;0;0;17;2
"";"ANG2";263;166;64;174;1;0;1;3;2;1;1;18;0;17;0;0;0;0;0;0;0;0;0;0;711;38;2;0;0;0;0;40;0
"";"GEF3";83;32;37;75;0;0;0;11;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;0;244;14;0;0;1;0;0;15;9
"";"ANG3";79;23;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;3;0;0;0;0;0;3;1
"";"RAD1";110;25;14;77;4;0;3;3;4;0;7;11;0;4;9;0;0;0;0;0;0;0;0;0;271;9;1;0;0;0;0;10;4
"Herz";"HER1";35;1;9;16;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;63;2;0;0;0;0;0;2;1
"";"HER1.1";92;1;10;9;0;0;0;0;1;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;192;9;0;0;0;0;0;9;0
"";"HER1.1.1";383;0;229;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;903;34;0;0;0;0;0;34;0
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0
"";"HER1.1.3";124;0;30;13;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;247;9;0;0;0;0;0;9;0
"";"HER1.1.4";216;0;143;198;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;571;33;0;0;0;0;0;33;0
"";"HER1.1.5";160;0;76;122;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;374;29;0;0;0;0;0;29;0
"";"KAR1";150;102;188;162;23;0;38;45;17;26;37;70;0;14;13;0;0;2;0;0;0;0;0;0;887;96;0;0;0;0;0;96;19
"";"KAR1.1";1971;701;1906;1655;12;0;75;14;11;9;102;12;1;45;18;2;0;0;0;0;0;0;0;0;6534;636;0;0;0;0;0;636;5
"";"KAR1.1.1";890;93;296;457;0;0;0;1;1;0;82;1;0;89;0;0;0;0;0;0;0;0;0;0;1910;399;0;0;0;0;0;399;0
"";"KAR1.2";172;37;92;49;0;0;0;0;0;0;43;0;0;43;0;0;0;0;0;0;0;0;0;0;436;210;0;0;0;0;0;210;0
"";"KAR1.3";179;35;93;50;0;0;0;0;1;0;33;4;0;1;0;0;0;0;0;0;0;0;0;0;396;47;0;0;0;0;0;47;0
"Nephrologie";"NEP1";337;103;84;22;18;0;41;41;20;78;58;114;0;5;17;1;1;0;0;0;0;0;0;0;940;44;0;0;0;0;0;44;59
"Urologie";"URO1";1411;1182;1038;872;180;513;740;668;116;344;400;274;0;214;440;37;76;161;5;0;787;11;0;0;9469;231;279;75;12;0;0;597;240
"";"URO1.1";214;103;89;73;14;22;40;64;7;54;39;37;0;77;21;1;1;10;0;0;103;1;0;0;970;7;17;2;13;0;0;39;53
"";"URO1.1.1";102;109;42;267;0;20;43;42;0;0;0;0;0;0;55;0;0;0;0;0;80;0;0;0;760;8;4;0;0;0;0;12;20
"";"URO1.1.2";42;26;14;24;0;0;0;1;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;119;6;0;0;1;0;0;7;4
"";"URO1.1.3";76;59;59;56;0;0;16;23;0;0;0;0;0;9;46;0;0;0;0;0;5;0;0;0;349;5;0;1;0;0;0;6;10
"";"URO1.1.4";13;7;5;9;0;0;2;5;2;0;1;2;0;3;1;0;0;0;0;0;0;0;0;0;50;1;0;0;0;0;0;1;1
"";"URO1.1.5";13;9;12;5;0;0;3;2;0;0;0;0;0;39;7;0;0;0;0;0;7;0;0;0;97;0;0;0;0;0;0;0;3
"";"URO1.1.6";19;12;0;38;1;0;2;0;0;2;1;0;0;56;4;0;0;0;0;0;1;0;0;0;136;0;0;0;0;0;0;0;0
"";"URO1.1.7";28;10;0;4;0;0;4;0;0;0;0;0;0;3;15;0;0;0;0;0;5;0;0;0;69;0;0;0;0;0;0;0;0
"";"URO1.1.8";8;11;22;2;0;0;4;2;0;4;1;0;0;0;0;0;0;0;0;0;17;0;0;0;71;0;0;0;0;0;0;0;0
"Pneumologie";"PNE1";783;350;396;172;156;0;279;182;195;108;140;272;0;107;120;2;24;2;0;0;0;0;5;1;3294;72;7;3;0;0;0;82;194
"";"PNE1.1";67;2;16;4;8;0;8;0;2;1;9;2;0;17;4;1;0;0;0;0;0;0;0;0;141;0;0;0;0;0;0;0;5
"";"PNE1.2";656;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;657;0;0;0;0;0;0;0;0
"";"PNE1.3";65;12;0;1;0;0;2;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0
"";"PNE2";55;14;2;0;0;0;2;0;1;2;13;7;0;50;0;0;0;0;0;8;0;0;0;0;154;1;0;0;0;0;0;1;3
"Thoraxchirurgie";"THO1";49;8;9;13;0;0;0;0;0;0;2;1;0;9;2;0;0;0;0;0;0;0;0;0;93;8;0;0;0;0;0;8;0
"";"THO1.1";146;76;60;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356;1;0;0;0;0;0;1;0
"";"THO1.2";64;14;15;27;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;124;4;0;0;0;0;0;4;1
"Transplantationen";"TPL1";10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
"";"TPL2";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
"";"TPL3";38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0
"";"TPL4";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
"";"TPL5";68;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;
"Bewegungsapparat chirurgisch";"BEW1";666;746;305;729;132;238;230;260;207;162;151;254;1518;179;150;1232;57;29;81;0;2;26;1;0;7355;410;133;126;109;0;0;778;181
"";"BEW2";137;196;75;236;28;168;60;87;54;119;56;66;612;47;53;239;24;10;59;0;0;33;2;4;2365;134;57;34;106;0;0;331;47
"";"BEW3";174;227;67;83;24;7;84;112;92;11;19;27;144;57;46;90;7;6;6;0;0;0;0;0;1283;99;54;11;58;0;0;222;64
"";"BEW4";0;17;14;31;0;8;6;5;9;19;3;9;212;1;15;21;3;7;0;0;0;0;0;0;380;14;28;5;1;0;0;48;1
"";"BEW5";93;190;102;1029;97;492;206;196;135;111;73;82;706;28;86;396;128;89;3;0;0;89;0;0;4331;186;352;206;36;0;0;780;60
"";"BEW6";14;308;60;338;46;333;146;131;65;107;69;122;1213;0;122;555;47;22;0;0;0;0;0;0;3698;196;120;76;65;0;0;457;62
"";"BEW7";28;951;119;784;80;639;169;242;380;202;379;92;2220;6;194;732;100;80;0;0;0;0;0;0;7397;220;431;149;71;0;0;871;178
"";"BEW8";421;462;328;903;81;59;1;1;1;562;3;1;1256;22;45;727;8;0;0;0;0;0;0;0;4881;430;90;102;21;0;0;643;5
"";"BEW8.1";30;16;7;24;5;11;0;0;0;64;0;0;50;12;0;60;0;0;0;0;0;0;0;0;279;43;7;10;9;0;0;69;0
"";"BEW9";10;4;0;0;0;0;0;0;0;0;0;0;1;2;0;16;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0
"";"BEW10";13;0;1;14;0;0;0;0;0;0;0;0;14;1;0;13;0;0;0;0;0;0;0;0;56;4;2;28;4;0;0;38;1
"";"BEW11";11;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
"Rheumatologie";"RHE1";280;119;170;50;35;15;63;54;43;31;36;52;52;46;37;111;23;8;0;0;0;1;1;2;1229;18;10;12;59;0;0;99;58
"";"RHE2";89;15;11;1;2;0;1;1;1;3;1;1;0;6;5;0;1;0;0;0;0;0;0;0;138;2;0;0;0;0;0;2;5
"Gynäkologie";"GYN1";1882;590;476;601;512;154;306;343;147;271;395;2;0;25;250;0;52;96;16;0;22;7;0;0;6147;358;265;45;75;0;0;743;263
"";"GYN1.1";18;0;5;3;0;1;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;1;0;0;0;0;1;0
"";"GYN1.2";15;3;2;3;0;0;1;4;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;2;0;0;2;0
"";"GYN1.3";21;18;14;12;2;1;5;5;16;14;10;0;0;0;6;0;0;2;0;0;0;0;0;0;126;3;7;1;4;0;0;15;20
"";"GYN1.4";46;21;28;21;7;0;4;21;10;10;9;1;0;2;8;0;0;2;0;0;0;0;0;0;190;8;4;2;2;0;0;16;8
"";"GYN2";247;232;95;226;39;39;35;61;69;56;82;1;0;0;62;0;13;57;229;0;0;0;0;0;1543;67;111;18;227;4;0;427;81
"";"PLC1";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;
"";"GEB1";3211;2134;2454;960;816;1;1036;1111;1579;2204;1051;8;0;0;638;0;312;742;0;0;0;0;0;0;18257;532;508;0;0;0;0;1040;1095
"";"GEB1.1";177;35;14;0;2;0;4;0;11;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;254;0;1;0;0;0;0;1;8
"";"GEB1.1.1";132;12;0;1;1;0;1;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;152;2;0;0;0;0;0;2;0
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;
"";"NEO1";2486;1749;2156;906;638;0;872;926;1380;2030;843;0;0;37;525;0;280;600;0;0;0;0;0;0;15428;513;448;0;0;0;0;961;868
"";"NEO1.1";167;30;131;5;4;0;6;8;20;62;13;0;0;165;5;0;4;7;0;0;0;0;0;0;627;2;20;0;0;0;0;22;19
"";"NEO1.1.1";268;211;23;0;4;0;1;1;73;52;15;0;0;235;0;0;1;1;0;0;0;0;0;0;885;1;17;0;0;0;0;18;3
"";"NEO1.1.1.1";86;13;2;0;0;0;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0
"(Radio-)Onkologie";"ONK1";202;221;156;47;1;0;18;63;7;7;41;21;0;98;13;0;1;34;0;0;0;0;0;0;930;30;25;1;0;0;0;56;10
"";"RAO1";247;223;263;77;0;0;5;2;0;5;2;0;0;5;31;0;0;0;0;0;18;0;0;0;878;0;0;0;0;0;0;0;0
"";"NUK1";174;141;114;61;0;0;18;2;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;514;3;0;0;0;0;0;3;0
"Schwere Verletzungen";"UNF1";135;32;29;2;3;0;2;9;3;3;2;7;0;13;1;1;1;0;0;0;0;0;0;0;243;1;0;0;0;0;0;1;8
"";"UNF1.1";137;28;29;5;6;0;14;5;13;7;4;11;2;37;8;3;3;0;0;0;0;0;0;0;312;1;0;0;0;0;0;1;10
"";"UNF2";46;3;1;0;0;0;0;0;0;0;1;0;0;16;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;1
"Total";;41799;26890;24164;19078;7509;3574;10786;11428;10330;10700;10241;8706;8488;8340;7644;4905;3636;2646;1400;878;1201;1218;214;132;225907;7018;3748;1367;1966;64;2;14165;9371
