"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"";"AUG1.2";46;9;6;5;0;3;0;2;0;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;76;6;0;1;25;13;45
"";"AUG1.3";116;150;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;436;77;0;0;10;0;87
"";"AUG1.4";98;467;271;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;950;35;0;0;36;0;71
"";"AUG1.5";958;147;368;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;1528;31;0;0;1;0;32
"Endokrinologie";"END1";213;185;77;47;33;0;112;88;54;22;112;137;1;103;43;9;21;0;0;0;0;0;1;2;1260;5;0;2;0;0;7
"Gastroenterologie";"GAE1";779;770;588;561;212;0;455;393;391;201;276;449;0;113;283;1;70;46;0;0;0;0;0;0;5588;144;16;3;0;0;163
"";"GAE1.1";194;164;131;129;21;0;45;89;77;38;160;83;0;2;62;0;4;3;0;0;0;0;0;0;1202;49;9;2;0;0;60
"Viszeralchirugie";"VIS1";632;561;380;497;94;5;85;223;149;74;147;127;0;126;128;0;5;1;3;0;2;1;0;0;3240;113;73;15;41;0;242
"";"VIS1.1";58;56;55;50;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;220;2;0;0;0;0;2
"";"VIS1.2";87;63;26;24;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;203;7;1;0;0;0;8
"";"VIS1.3";31;20;17;50;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;125;0;1;0;0;0;1
"";"VIS1.4";66;0;40;83;0;0;0;159;0;0;111;0;0;0;123;0;0;0;0;0;0;0;0;0;582;0;0;3;0;0;3
"";"VIS1.4.1";36;0;0;43;2;0;0;81;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;173;0;0;1;3;0;4
"";"VIS1.5";32;33;15;37;0;0;10;9;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;139;4;7;0;0;0;11
"Hämatologie";"HAE1";234;41;18;17;7;0;12;9;5;2;11;12;0;255;3;0;4;2;0;0;0;0;1;0;633;1;0;1;1;0;3
"";"HAE1.1";119;0;2;7;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;140;0;0;0;0;0;0
"";"HAE2";610;229;101;182;17;0;87;50;53;27;58;98;0;15;39;3;25;20;0;0;1;0;1;0;1616;27;5;4;0;0;36
"";"HAE3";50;33;17;23;12;0;11;9;12;2;9;22;0;18;8;0;14;10;0;0;0;0;3;0;253;8;0;0;0;0;8
"";"HAE4";101;0;11;33;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;0
"";"HAE5";84;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0
"Gefässe";"GEF1";87;114;76;105;0;0;2;29;0;1;0;5;0;4;0;3;0;0;0;0;0;0;0;0;426;22;7;1;0;0;30
"";"ANG1";417;211;91;125;12;0;2;33;23;3;0;52;0;3;2;2;0;0;0;0;0;0;1;0;977;139;38;0;0;0;177
"";"GEFA";638;298;126;291;1;0;0;4;1;0;1;20;0;34;1;0;0;0;0;0;0;0;0;0;1415;60;33;0;0;0;93
"";"GEF3";91;38;36;73;0;0;0;7;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;248;9;6;0;1;0;16
"";"ANG3";69;25;7;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;3;0;0;0;0;3
"";"RAD1";103;27;25;145;7;0;3;8;0;1;0;7;0;6;3;0;0;0;0;0;0;0;0;0;335;11;0;0;15;0;26
"Herz";"HER1";23;2;16;19;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;63;5;1;0;0;0;6
"";"HER1.1";70;0;27;11;0;0;0;0;1;0;1;0;0;45;0;0;0;0;0;0;0;0;0;0;155;6;0;0;0;0;6
"";"HER1.1.1";198;0;239;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;673;44;0;0;0;0;44
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0
"";"HER1.1.3";45;0;21;14;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;171;7;0;0;0;0;7
"";"HER1.1.4";142;0;147;173;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;465;34;0;0;0;0;34
"";"HER1.1.5";97;0;106;139;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;352;23;0;0;0;0;23
"";"KAR1";236;107;193;146;0;0;28;54;17;26;39;64;0;7;11;0;0;1;0;0;0;0;0;0;929;82;6;0;0;0;88
"";"KAR1.1";1581;786;1807;1380;3;0;32;5;2;7;50;7;0;30;18;0;0;4;0;0;0;0;0;0;5712;484;134;0;0;0;618
"";"KAR1.1.1";632;11;208;280;1;0;0;0;0;0;0;0;0;78;0;1;0;0;0;0;0;0;0;0;1211;164;0;0;0;0;164
"";"KAR1.2";373;101;248;337;1;0;0;0;0;0;114;0;0;42;0;0;0;0;0;0;0;0;0;0;1216;402;4;0;0;0;406
"";"KAR1.3";213;24;79;65;0;0;0;0;0;0;26;2;0;2;0;0;0;0;0;0;0;0;0;0;411;38;3;0;0;0;41
"Nephrologie";"NEP1";219;82;62;15;18;0;9;28;4;62;42;84;0;10;18;1;0;0;0;0;0;0;0;0;654;31;1;0;0;0;32
"Urologie";"URO1";1194;1111;883;941;175;443;616;539;97;250;469;353;0;177;512;34;133;119;0;0;867;3;0;0;8916;210;234;89;11;0;544
"";"URO1.1";173;144;110;122;5;11;24;105;8;134;56;23;0;127;54;1;0;6;0;0;167;0;0;0;1270;11;36;17;8;0;72
"";"URO1.1.1";67;99;84;261;1;10;27;24;0;0;0;0;0;0;75;0;0;0;0;0;90;0;0;0;738;9;22;0;0;0;31
"";"URO1.1.2";25;27;9;31;0;0;0;1;0;0;0;0;0;2;11;0;0;0;0;0;0;0;0;0;106;2;1;0;0;0;3
"";"URO1.1.3";50;42;20;29;0;0;2;22;0;0;0;0;0;6;24;0;0;0;0;0;0;0;0;0;195;1;1;0;0;0;2
"";"URO1.1.4";11;15;7;13;0;0;2;4;2;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;62;2;1;0;0;0;3
"";"URO1.1.7";29;10;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;65;0;1;0;0;0;1
"";"URO1.1.8";13;8;18;4;0;0;0;2;0;4;1;0;0;3;1;0;0;0;0;0;11;0;0;0;65;0;0;0;0;0;0
"Pneumologie";"PNE1";567;263;234;68;64;0;169;124;158;40;114;178;0;105;69;1;5;1;0;0;0;0;3;3;2166;66;11;4;0;0;81
"";"PNE1.1";16;5;3;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0
"";"PNE1.2";544;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;545;0;0;0;0;0;0
"";"PNE1.3";21;5;0;1;0;0;2;1;1;0;2;0;0;17;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0
"";"PNE2";61;32;0;0;0;0;11;0;3;0;12;0;0;83;1;0;0;0;0;7;0;0;0;0;210;0;0;0;0;0;0
"Thoraxchirurgie";"THO1";90;47;42;32;0;0;0;3;6;4;6;3;1;12;5;0;0;0;0;0;0;0;0;0;251;4;10;0;1;0;15
"";"THO1.1";121;86;56;44;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;308;4;10;0;0;0;14
"";"THO1.2";45;22;8;25;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;101;4;8;0;0;0;12
"Transplantationen";"TPL1";6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
"";"TPL2";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0
"";"TPL3";50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0
"";"TPL4";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
"";"TPL5";87;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;0
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"Bewegungsapparat chirurgisch";"BEW1";633;654;381;462;94;127;229;267;169;153;139;227;1180;163;196;1170;35;10;72;0;0;91;3;1;6456;318;135;104;128;0;685
"";"BEW2";140;161;96;126;14;77;73;84;39;62;26;109;600;105;68;216;16;6;44;0;0;59;1;8;2130;110;66;24;53;0;253
"";"BEW3";162;266;88;53;14;9;30;117;68;16;35;38;130;86;53;104;8;2;29;0;0;4;0;0;1312;58;17;10;93;0;178
"";"BEW4";1;34;15;32;0;8;21;11;2;18;5;11;174;0;6;55;4;2;2;0;0;22;0;0;423;12;25;4;3;0;44
"";"BEW5";78;188;60;644;35;147;94;84;94;21;41;160;553;15;60;422;24;15;11;0;0;84;0;0;2830;95;258;157;83;0;593
"";"BEW6";9;272;86;215;29;272;274;185;89;106;80;59;1034;1;124;556;16;8;29;0;0;184;0;0;3628;55;233;43;16;0;347
"";"BEW7";2;97;40;64;1;8;16;14;3;1;11;7;130;18;2;162;0;36;1;0;0;21;0;0;634;10;48;15;17;0;90
"";"BEW7.1";47;439;125;253;19;214;124;143;175;79;169;99;1029;0;109;389;0;0;0;0;0;25;0;0;3438;69;190;46;13;0;318
"";"BEW7.1.1";14;72;21;35;10;6;22;8;9;18;9;10;119;0;8;104;0;0;0;0;0;0;0;0;465;4;28;2;0;0;34
"";"BEW7.2";1;302;176;288;14;271;121;167;141;77;148;0;882;1;113;256;0;0;0;0;0;45;0;0;3003;87;266;119;49;0;521
"";"BEW7.2.1";0;19;2;28;1;4;5;9;1;7;25;0;93;0;6;57;0;0;0;0;0;11;0;0;268;2;42;12;15;0;71
"";"BEW8";276;475;390;966;82;50;0;0;0;573;0;0;1259;13;59;961;47;0;0;0;0;0;0;0;5151;396;130;113;13;0;652
"";"BEW8.1";46;20;3;68;3;0;0;0;0;112;0;0;71;14;1;111;1;0;0;0;0;0;0;0;450;26;8;1;1;0;36
"";"BEW9";6;1;0;0;0;0;0;0;0;1;0;0;2;4;0;17;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0
"";"BEW10";9;0;0;2;0;0;2;0;0;0;0;0;3;0;0;19;0;0;0;0;0;0;0;0;35;0;3;0;8;0;11
"";"BEW11";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
"Rheumatologie";"RHE1";123;88;55;20;21;14;26;28;27;18;29;36;6;20;17;38;8;0;0;0;0;0;1;1;576;4;1;5;0;0;10
"";"RHE2";164;27;5;2;3;0;4;4;5;4;1;2;0;8;3;1;0;0;0;0;0;0;0;0;233;3;1;0;0;0;4
"Gynäkologie";"GYN1";970;438;501;411;216;148;150;324;192;251;328;4;0;38;179;0;0;36;0;0;13;0;0;0;4199;222;157;20;81;0;480
"";"GYNT";97;52;48;55;2;2;2;34;19;23;26;0;0;1;0;0;0;1;0;0;0;0;0;0;362;16;5;1;5;0;27
"";"GYN2";170;169;119;414;10;67;1;59;75;76;86;0;0;0;76;0;0;0;0;0;0;0;0;0;1322;82;83;10;104;0;279
"";"PLC1";36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;76;0;0;0;0;0;0
"Geburtshilfe";"GEB1";2986;1937;2579;923;786;0;900;1202;1468;2477;932;2;0;0;634;0;1;402;0;0;0;0;0;0;17229;505;526;0;1;0;1032
"";"GEB1.1";163;39;10;1;0;0;1;2;4;9;2;0;0;0;0;0;0;4;0;0;0;0;0;0;235;0;0;0;0;0;0
"";"GEB1.1.1";120;6;4;0;0;0;0;2;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;139;0;0;0;0;0;0
"Neugeborene";"NEO1";1973;1451;2073;889;681;0;775;1062;1301;2013;786;0;0;24;557;0;0;360;0;0;0;0;0;0;13945;475;474;0;0;0;949
"";"NEO1.1";420;376;280;4;7;0;6;6;80;374;10;0;0;103;1;0;0;1;0;0;0;0;0;0;1668;3;29;0;0;0;32
"";"NEO1.1.1";313;28;12;1;0;0;0;1;12;7;1;0;0;122;0;0;0;0;0;0;0;0;0;0;497;0;0;0;0;0;0
"";"NEO1.1.1.1";79;7;1;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0
"(Radio-)Onkologie";"ONK1";249;124;71;27;5;0;10;41;6;0;15;26;0;121;8;0;3;14;0;0;0;0;1;0;721;24;16;0;0;0;40
"";"RAO1";273;179;237;103;0;0;3;2;0;7;3;0;0;4;22;0;0;1;0;0;20;0;0;0;854;4;0;0;0;0;4
"";"NUK1";170;75;118;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392;0;0;0;0;0;0
"Schwere Verletzungen";"UNF1";149;32;13;2;4;0;4;7;6;3;7;5;0;17;2;1;2;0;0;0;0;0;0;1;255;0;0;0;0;0;0
"";"UNF1.1";165;42;19;6;11;0;14;6;15;2;8;17;1;36;0;7;4;0;0;0;0;0;0;1;354;2;0;1;0;0;3
"";"UNF2";46;3;1;0;1;0;0;1;0;0;2;0;0;28;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0
"Total";;38650;26797;23959;18435;6383;2338;9628;11338;10058;10821;9879;8134;7671;7487;7812;5415;2642;1483;1528;877;1401;737;176;144;213793;6191;4116;1213;1444;80;13044
