"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"HNO2";18;0;17;16;0;2;0;25;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;84;0;3;0;1;4;0;13
"";"KIE1";37;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;44;0;0;0;0;0;0;5
"Neurochirurgie";"NCH1";80;0;0;30;0;0;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;0;0;125;0;0;0;0;0;0;10
"";"NCH1.1";6;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2
"";"NCH1.1.1";15;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;2
"";"NCH1.1.1.1";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"NCH1.1.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"NCH1.1.3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"NCH2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;1
"";"NCH3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;
"Neurologie";"NEU1";9;1;16;2;0;0;0;40;1;0;0;2;0;8;0;0;9;1;0;2;0;0;0;0;91;0;0;0;0;0;0;7
"";"NEU2";10;0;3;5;0;0;0;13;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;34;0;0;0;0;0;0;2
"";"NEU2.1";8;0;2;2;0;0;0;7;0;0;0;0;0;12;0;0;1;0;0;0;0;0;0;0;32;0;0;0;0;0;0;1
"";"NEU3";48;0;83;14;0;0;1;141;1;0;0;10;0;0;0;0;26;0;0;0;0;0;0;0;324;1;0;0;0;1;0;21
"";"NEU3.1";9;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;1
"";"NEU4";0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;17;0;0;0;0;23;0;0;0;0;0;0;
"";"NEU4.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;
"";"NEU4.2";8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;0;0;0;0;26;0;0;0;0;0;0;2
"Ophthalmologie";"AUG1";18;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;24;1;0;0;1;2;0;4
"";"AUG1.1";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"AUG1.2";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;1;1;0;
"";"AUG1.3";6;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;33;6;0;0;0;6;0;14
"";"AUG1.4";11;1;47;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;2;0;0;0;2;0;1
"";"AUG1.5";51;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;113;4;0;0;0;4;0;17
"Endokrinologie";"END1";10;0;6;3;0;0;0;67;1;2;0;7;0;4;0;0;10;0;0;0;0;0;0;0;110;0;0;0;0;0;0;12
"Gastroenterologie";"GAE1";56;0;66;23;2;0;1;307;8;4;0;38;0;9;1;0;82;0;0;0;0;0;0;0;597;5;0;0;0;5;0;28
"";"GAE1.1";9;2;30;6;0;0;0;55;4;0;0;11;0;0;0;0;6;0;0;0;0;0;0;0;123;0;0;0;0;0;0;6
"Viszeralchirugie";"VIS1";38;1;52;39;2;0;0;142;1;0;0;11;0;4;2;0;7;0;0;0;0;0;0;0;299;5;3;0;2;10;1;31
"";"VIS1.1";2;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;
"";"VIS1.2";5;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;
"";"VIS1.3";2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"VIS1.4";5;0;5;10;0;0;0;70;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;6
"";"VIS1.4.1";2;0;0;6;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;3
"";"VIS1.5";2;0;6;3;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;
"Hämatologie";"HAE1";23;0;5;2;0;0;0;11;0;0;0;0;0;8;0;0;6;0;0;0;0;0;0;0;55;0;0;0;0;0;0;1
"";"HAE1.1";4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"HAE2";37;1;32;5;0;0;1;52;3;1;0;3;0;0;0;1;10;0;0;0;0;0;0;0;146;2;1;0;0;3;0;15
"";"HAE3";5;0;3;2;0;0;0;6;0;0;0;3;0;0;0;0;10;0;0;0;0;0;0;0;29;0;0;0;0;0;0;
"";"HAE4";2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;1;0;
"";"HAE5";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"Gefässe";"GEF1";6;2;6;6;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;5
"";"ANG1";31;3;13;9;1;0;0;33;2;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;101;10;0;0;0;10;0;13
"";"GEFA";23;1;29;13;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;68;3;3;0;0;6;0;1
"";"GEF3";3;0;10;3;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;1
"";"ANG3";6;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;
"";"RAD1";4;0;3;11;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;4
"Herz";"HER1";0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"HER1.1";4;0;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9;0;1;0;0;1;0;
"";"HER1.1.1";7;0;36;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HER1.1.3";4;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;
"";"HER1.1.4";0;0;19;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;1;0;0;0;1;0;3
"";"HER1.1.5";3;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;
"";"KAR1";11;0;37;15;0;0;0;48;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;114;8;0;0;0;8;0;1
"";"KAR1.1";101;4;291;67;0;0;0;8;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;476;24;7;0;0;31;0;21
"";"KAR1.1.1";12;0;18;12;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;47;8;0;0;0;8;0;4
"";"KAR1.2";15;0;61;19;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;97;13;0;0;0;13;0;5
"";"KAR1.3";9;0;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2;0;0;0;2;0;1
"Nephrologie";"NEP1";14;0;17;0;0;0;0;36;1;5;0;9;0;0;0;0;0;0;0;0;0;0;0;0;82;5;0;0;0;5;0;8
"Urologie";"URO1";107;3;116;53;1;31;1;514;4;6;0;41;0;14;1;7;120;27;0;0;59;1;0;0;1106;10;18;0;0;28;1;74
"";"URO1.1";6;1;27;6;0;0;0;76;0;1;0;6;0;18;0;0;7;0;0;0;12;0;0;0;160;2;2;0;0;4;2;9
"";"URO1.1.1";6;2;12;9;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;51;1;0;0;0;1;0;2
"";"URO1.1.2";3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;1
"";"URO1.1.3";0;0;4;1;0;0;0;4;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;
"";"URO1.1.4";3;0;0;1;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;
"";"URO1.1.7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"URO1.1.8";1;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;
"Pneumologie";"PNE1";63;1;54;10;1;0;3;148;11;1;1;19;0;8;1;0;23;1;0;0;0;0;0;0;345;6;1;0;0;7;0;22
"";"PNE1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1
"";"PNE1.2";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;
"";"PNE1.3";2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"PNE2";6;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2
"Thoraxchirurgie";"THO1";8;1;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0;1;0;1
"";"THO1.1";15;0;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;1;0;0;0;1;0;3
"";"THO1.2";4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;
"Transplantationen";"TPL1";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"TPL2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL3";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL5";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";65;6;53;39;0;9;4;213;8;3;1;18;77;21;3;120;39;0;13;0;0;8;0;0;700;21;10;0;6;37;0;84
"";"BEW2";10;1;9;11;1;13;1;64;2;3;0;4;37;7;3;21;19;0;0;0;0;3;0;0;209;9;4;0;4;17;0;25
"";"BEW3";17;0;19;2;0;0;0;72;1;2;0;2;11;7;0;12;6;0;1;0;0;0;0;0;152;1;4;1;0;6;0;14
"";"BEW4";0;0;3;0;0;0;0;6;0;0;0;0;15;0;0;2;3;1;0;0;0;1;0;0;31;3;0;0;0;3;0;4
"";"BEW5";0;1;13;57;1;30;2;71;5;1;0;10;42;1;0;30;18;2;2;0;0;14;0;0;300;10;22;1;9;42;0;49
"";"BEW6";1;1;12;27;1;25;7;126;2;3;1;10;74;0;4;39;21;2;0;0;0;26;0;0;382;6;17;0;2;25;0;42
"";"BEW7";0;0;7;6;0;1;0;8;1;0;0;0;8;0;0;9;0;0;0;0;0;1;0;0;41;6;1;0;0;7;0;4
"";"BEW7.1";3;1;20;10;0;8;0;110;6;3;2;7;76;0;2;31;39;0;0;0;0;8;0;0;326;6;17;0;1;24;0;27
"";"BEW7.1.1";0;0;6;3;0;0;0;12;0;0;0;1;7;0;0;9;1;0;0;0;0;1;0;0;40;0;3;0;0;3;0;1
"";"BEW7.2";0;2;9;17;1;18;0;154;10;4;0;6;85;0;0;23;35;0;0;0;0;12;0;0;376;11;14;1;5;31;0;24
"";"BEW7.2.1";0;0;0;2;0;0;0;14;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;24;1;3;0;1;5;0;
"";"BEW8";20;0;51;63;3;8;0;0;0;29;0;0;57;1;1;54;4;0;0;0;0;0;0;0;291;31;20;0;0;51;0;36
"";"BEW8.1";11;1;6;14;2;1;0;0;0;7;0;0;14;0;0;14;0;0;0;0;0;0;0;0;70;7;2;0;1;10;0;10
"";"BEW9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"BEW10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Rheumatologie";"RHE1";20;0;12;1;0;1;0;32;1;0;0;6;0;3;0;3;11;0;0;0;0;0;0;0;90;0;0;0;1;1;0;2
"";"RHE2";14;0;2;0;0;0;0;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;23;0;0;0;0;0;0;1
"Gynäkologie";"GYN1";93;0;65;33;8;9;1;200;10;7;2;1;0;2;2;0;35;2;0;0;1;0;0;0;471;18;18;0;10;46;2;74
"";"GYNT";3;0;9;1;0;0;0;19;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;36;2;0;0;0;2;0;4
"";"GYN2";12;0;25;27;0;3;0;56;5;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;131;5;11;0;5;21;0;20
"";"PLC1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;4
"Geburtshilfe";"GEB1";269;5;315;50;40;0;5;787;111;93;3;0;0;0;1;0;237;22;0;0;0;0;0;0;1938;39;36;0;1;76;0;222
"";"GEB1.1";15;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;1;0;0;1;0;6
"";"GEB1.1.1";4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"Neugeborene";"NEO1";167;1;271;49;31;0;5;678;101;75;3;0;0;2;1;0;207;18;0;0;0;0;0;0;1609;36;38;0;0;74;0;175
"";"NEO1.1";26;4;51;0;1;0;0;6;5;10;0;0;0;8;0;0;0;0;0;0;0;0;0;0;111;0;1;0;0;1;0;5
"";"NEO1.1.1";51;2;0;0;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;62;1;0;0;0;1;0;8
"";"NEO1.1.1.1";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";10;0;15;1;0;0;0;17;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;45;0;0;0;0;0;0;10
"";"RAO1";22;0;40;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;79;2;0;0;0;2;0;5
"";"NUK1";19;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;4
"Schwere Verletzungen";"UNF1";8;1;4;0;0;0;0;3;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;20;0;0;0;0;0;0;4
"";"UNF1.1";12;2;2;0;0;0;0;8;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;29;0;0;0;0;0;0;8
"";"UNF2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"Total";;2944;114;3416;1136;125;200;51;8469;477;310;27;694;551;613;49;440;2608;90;139;38;91;111;3;8;22704;409;294;6;90;799;8;2298
