"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"";"KAR1.3";227;32;104;98;0;0;0;0;0;0;23;2;0;2;0;0;0;0;0;0;0;0;0;488;34;5;0;2;0;41
"Nephrologie";"NEP1";198;96;67;67;26;0;19;23;5;51;25;58;0;5;12;1;1;0;0;0;0;3;0;657;12;0;0;0;0;12
"Urologie";"URO1";1064;1061;892;833;321;469;682;564;130;254;380;390;0;183;544;73;131;60;0;962;2;0;0;8995;315;233;111;8;0;667
"";"URO1.1";168;199;122;136;23;15;125;93;4;126;54;16;0;89;82;1;0;0;0;142;0;0;0;1395;11;30;9;7;0;57
"";"URO1.1.1";71;93;81;283;6;7;41;34;0;0;0;0;0;0;95;0;0;0;0;87;0;0;0;798;25;35;0;0;0;60
"";"URO1.1.2";26;26;29;35;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;122;4;0;0;0;0;4
"";"URO1.1.3";42;41;32;30;0;0;12;16;0;0;0;0;0;5;19;0;0;0;0;1;0;0;0;198;1;3;0;0;0;4
"";"URO1.1.4";34;22;5;23;1;0;2;2;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;95;1;0;0;0;0;1
"";"URO1.1.7";9;8;1;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;63;0;1;0;0;0;1
"";"URO1.1.8";30;14;13;3;0;0;2;20;0;3;0;0;0;2;0;0;0;0;0;7;0;0;0;94;0;0;1;0;0;1
"Pneumologie";"PNE1";664;338;309;65;96;0;181;155;161;73;163;154;0;129;78;4;5;0;0;0;0;2;0;2577;81;4;0;0;0;85
"";"PNE1.1";27;3;2;0;0;0;0;0;1;0;5;1;0;0;0;0;1;0;1;0;0;0;0;41;0;0;0;0;0;0
"";"PNE1.2";654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;654;0;0;0;0;0;0
"";"PNE1.3";23;4;0;0;0;0;0;1;1;0;0;0;0;17;1;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0
"";"PNE2";34;31;1;1;0;0;0;0;5;0;12;11;0;92;0;0;0;0;5;0;0;0;0;192;6;0;0;0;0;6
"Thoraxchirurgie";"THO1";62;47;45;49;0;0;0;4;2;1;1;0;0;26;4;0;0;0;0;0;0;0;0;241;2;5;0;1;0;8
"";"THO1.1";108;105;63;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;2;14;0;0;0;16
"";"THO1.2";75;30;16;29;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;151;3;4;0;2;0;9
"Transplantationen";"TPL1";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0
"";"TPL2";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0
"";"TPL3";44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0
"";"TPL4";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
"";"TPL5";85;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"Bewegungsapparat chirurgisch";"BEW1";506;702;329;432;124;128;270;281;201;157;175;292;1266;183;237;1407;28;55;0;0;120;0;1;6894;273;157;142;92;0;664
"";"BEW2";143;135;47;90;36;53;95;104;49;76;31;121;700;105;63;273;17;81;0;0;53;2;8;2282;110;46;42;27;0;225
"";"BEW3";132;189;92;34;13;0;33;74;72;6;24;30;105;66;33;139;3;37;0;0;0;0;0;1082;49;34;9;93;0;185
"";"BEW4";1;22;4;20;0;8;14;8;1;5;2;11;58;1;10;49;2;0;0;0;36;0;0;252;5;6;4;1;0;16
"";"BEW5";68;190;81;665;34;131;112;85;75;19;15;120;717;24;61;585;27;6;0;0;122;0;0;3137;131;284;213;94;0;722
"";"BEW6";37;220;91;220;36;228;305;226;94;149;61;78;1143;4;191;693;23;6;0;0;190;0;0;3995;66;193;121;39;0;419
"";"BEW7";5;30;32;72;2;18;21;8;9;4;8;9;143;23;7;171;0;1;0;0;96;0;0;659;17;45;27;20;0;109
"";"BEW7.1";51;389;176;262;12;187;163;131;221;112;96;138;1198;0;146;445;0;0;0;0;0;0;0;3727;90;212;200;16;0;518
"";"BEW7.1.1";9;68;8;26;9;4;21;14;10;15;11;12;119;0;5;102;0;0;0;0;0;0;0;433;3;22;7;1;0;33
"";"BEW7.2";1;298;240;320;17;237;205;203;200;86;74;0;940;0;189;384;0;0;0;0;0;0;0;3394;79;247;241;69;0;636
"";"BEW7.2.1";0;21;6;28;0;8;14;8;6;4;5;0;89;0;10;93;0;0;0;0;0;0;0;292;5;30;19;17;0;71
"";"BEW8";332;560;412;889;160;42;0;1;2;622;2;3;1259;28;87;1095;0;0;0;0;0;0;0;5494;376;163;101;16;0;656
"";"BEW8.1";36;13;3;63;2;1;0;0;0;89;0;0;56;9;1;79;0;0;0;0;0;0;0;352;33;8;2;0;0;43
"";"BEW9";9;2;0;0;0;0;0;0;0;0;0;0;0;3;0;17;0;0;0;0;0;0;0;31;0;0;0;0;0;0
"";"BEW10";8;1;0;4;0;0;0;0;0;0;0;0;1;1;0;8;0;0;0;0;2;0;0;25;0;1;1;46;0;48
"";"BEW11";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
"Rheumatologie";"RHE1";219;51;40;17;21;4;26;23;26;34;22;27;12;37;11;68;20;0;0;0;0;2;2;662;4;2;3;0;0;9
"";"RHE2";187;14;14;3;2;0;3;3;3;5;1;6;0;17;3;0;0;0;0;0;0;0;0;261;1;2;0;0;0;3
"Gynäkologie";"GYN1";831;457;580;423;385;121;214;442;209;356;319;1;0;39;217;0;0;0;0;15;1;0;0;4610;208;201;10;59;0;478
"";"GYNT";100;69;64;64;1;1;3;27;20;39;23;0;0;1;0;0;0;0;0;0;0;0;0;412;5;4;0;1;0;10
"";"GYN2";162;216;93;422;1;88;1;79;69;143;86;0;0;0;51;0;0;0;0;0;0;0;0;1411;86;85;6;127;0;304
"";"PLC1";43;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;76;0;1;0;0;0;121;0;0;0;0;0;0
"Geburtshilfe";"GEB1";2764;2055;2484;970;874;0;933;1270;1340;2271;898;4;0;0;518;0;4;0;0;0;0;0;0;16385;472;413;0;0;0;885
"";"GEB1.1";181;36;8;1;1;0;1;1;1;10;3;0;0;0;0;0;0;0;0;0;0;0;0;243;0;0;0;0;0;0
"";"GEB1.1.1";113;5;8;2;0;0;0;2;0;5;2;0;0;0;1;0;0;0;0;0;0;0;0;138;0;0;0;0;0;0
"Neugeborene";"NEO1";1773;1610;2078;917;727;0;790;1044;1148;1883;707;0;0;26;445;0;0;0;0;0;0;0;0;13148;460;392;0;0;0;852
"";"NEO1.1";456;401;240;10;17;0;1;5;109;352;17;0;0;108;5;0;0;0;0;0;0;0;0;1721;2;7;0;0;0;9
"";"NEO1.1.1";256;31;6;1;1;0;1;0;7;6;4;0;0;144;1;0;0;0;0;0;0;0;0;458;0;0;0;0;0;0
"";"NEO1.1.1.1";88;6;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0
"(Radio-)Onkologie";"ONK1";192;160;67;38;1;0;8;31;4;10;12;29;0;150;4;0;8;0;0;0;0;0;0;714;16;7;0;0;0;23
"";"RAO1";261;176;160;93;0;0;1;2;0;10;0;1;0;6;27;0;0;0;0;28;0;0;0;765;1;1;0;0;0;2
"";"NUK1";124;83;89;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;0;0;0;0;0;0
"Schwere Verletzungen";"UNF1";133;34;14;6;3;0;1;8;7;1;6;5;0;14;4;6;0;0;0;0;0;0;0;242;1;0;0;0;0;1
"";"UNF1.1";169;39;26;10;9;0;4;4;12;9;5;23;0;26;5;3;1;0;0;0;0;1;0;346;3;0;2;0;0;5
"";"UNF2";95;3;3;1;0;0;0;0;0;0;3;0;0;23;0;0;0;0;0;0;0;0;1;129;0;0;0;0;0;0
"Total";;38705;26694;24746;19539;7415;2109;10370;12765;10096;11428;9932;8615;8294;8212;8328;6533;2563;2019;941;1397;779;197;157;221834;6702;3796;1708;1482;86;13774
