"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"NEU4.2";2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;1;0;0;0;1;0;1
"";"AUG1.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"AUG1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;
"";"AUG1.3";1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;5;0;0;0;5;0;7
"";"AUG1.4";2;0;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;0;0;2;10;0;
"";"AUG1.5";50;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;64;0;0;0;0;0;0;5
"Endokrinologie";"END1";4;0;9;0;24;1;1;0;0;0;0;3;0;8;0;0;1;0;0;0;0;0;0;51;0;0;0;0;0;0;4
"Gastroenterologie";"GAE1";31;0;37;11;144;0;0;0;0;1;0;2;0;6;1;0;0;0;0;0;0;0;0;233;30;0;0;0;30;0;13
"";"GAE1.1";6;0;13;6;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;39;3;1;0;0;4;0;3
"Viszeralchirugie";"VIS1";16;1;22;27;57;2;0;2;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;131;16;1;0;0;17;0;7
"";"VIS1.1";0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;
"";"VIS1.2";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"VIS1.3";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"VIS1.4";1;0;12;4;0;0;0;7;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;5
"";"VIS1.4.1";1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2
"";"VIS1.5";2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;0;
"Hämatologie";"HAE1";4;0;1;0;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;
"";"HAE1.1";14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;
"";"HAE2";33;0;9;17;30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;90;13;0;0;0;13;0;2
"";"HAE3";5;0;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3;0;0;0;3;0;1
"";"HAE4";7;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;
"";"HAE5";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"Gefässe";"GEF1";9;0;6;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;1;0;1
"";"ANG1";16;0;3;7;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;16;1;0;0;17;0;2
"";"GEFA";22;0;10;13;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;48;9;0;0;0;9;0;1
"";"GEF3";4;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;0;0;1;0;
"";"ANG3";5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"RAD1";2;0;1;6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;3;0;0;0;3;0;2
"Herz";"HER1";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"HER1.1";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;
"";"HER1.1.1";2;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;3;0;
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"";"HER1.1.3";2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;2;0;0;0;2;0;1
"";"HER1.1.4";1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;3;0;
"";"HER1.1.5";3;0;7;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;4;0;0;0;4;0;
"";"KAR1";1;0;21;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;25;15;0;0;0;15;0;1
"";"KAR1.1";31;0;142;20;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;197;57;1;0;0;58;0;8
"";"KAR1.1.1";17;0;12;18;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;50;18;0;0;0;18;0;1
"";"KAR1.2";11;0;12;20;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;47;26;0;0;0;26;0;2
"";"KAR1.3";4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;0;3;0;
"Nephrologie";"NEP1";4;0;1;0;7;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;16;5;0;0;0;5;0;6
"Urologie";"URO1";55;5;29;32;131;159;0;2;0;2;0;1;0;3;7;2;9;0;0;13;0;0;0;450;50;12;0;1;63;0;48
"";"URO1.1";8;0;5;3;11;6;0;5;0;3;0;1;0;5;4;0;0;0;0;2;0;0;0;53;4;1;0;0;5;0;3
"";"URO1.1.1";2;1;8;13;0;1;0;6;0;0;0;0;0;0;2;0;0;0;0;5;0;0;0;38;0;2;0;0;2;0;1
"";"URO1.1.2";1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"URO1.1.3";2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;
"";"URO1.1.4";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"URO1.1.7";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"URO1.1.8";2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;
"Pneumologie";"PNE1";19;1;21;2;60;0;0;1;0;0;2;1;0;2;0;0;0;0;0;0;0;1;0;110;17;0;0;0;17;0;5
"";"PNE1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"PNE1.2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"PNE1.3";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"PNE2";2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;
"Thoraxchirurgie";"THO1";3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;1;0;
"";"THO1.1";4;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;2;0;0;4;0;
"";"THO1.2";2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;
"Transplantationen";"TPL1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"TPL2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL5";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";28;4;13;11;85;22;1;3;0;3;1;7;27;8;7;53;0;2;0;0;2;0;0;277;33;3;1;6;43;0;54
"";"BEW2";4;0;4;3;9;7;0;0;0;3;0;3;23;2;0;10;0;4;0;0;0;0;0;72;15;1;0;2;18;0;15
"";"BEW3";12;1;2;1;7;0;0;0;0;0;0;0;2;1;1;5;0;4;0;0;0;0;0;36;8;0;0;3;11;0;8
"";"BEW4";0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;
"";"BEW5";2;0;6;33;16;28;0;0;0;0;0;0;19;1;1;8;0;1;0;0;0;0;0;115;8;9;2;3;22;0;35
"";"BEW6";0;0;1;9;20;57;1;1;0;3;0;1;37;0;1;10;0;1;0;0;2;0;0;144;11;7;0;2;20;0;75
"";"BEW7";0;0;1;3;0;4;0;0;0;0;0;1;5;0;0;3;0;0;0;0;5;0;0;22;3;4;0;0;7;0;3
"";"BEW7.1";3;0;4;9;9;95;2;0;0;2;0;5;45;0;2;19;0;0;0;0;1;0;0;196;9;10;1;1;21;0;7
"";"BEW7.1.1";0;0;0;1;3;5;0;0;0;2;0;0;4;0;0;6;0;0;0;0;0;0;0;21;0;1;0;0;1;0;
"";"BEW7.2";0;0;3;18;3;103;1;0;0;3;0;0;24;0;1;8;0;0;0;0;0;0;0;164;8;9;1;1;19;0;9
"";"BEW7.2.1";0;0;0;0;0;3;0;0;0;1;0;0;2;0;0;3;0;0;0;0;0;0;0;9;0;1;0;0;1;0;1
"";"BEW8";15;0;18;55;46;10;0;0;0;8;0;0;38;1;0;25;0;0;0;0;0;0;0;216;39;3;0;0;42;0;46
"";"BEW8.1";3;0;1;2;1;0;0;0;0;3;0;0;1;1;0;2;0;0;0;0;0;0;0;14;3;0;0;0;3;0;4
"";"BEW9";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;1
"";"BEW10";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"Rheumatologie";"RHE1";6;0;3;1;18;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;31;1;0;0;0;1;0;1
"";"RHE2";5;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;1;0;0;0;1;0;
"Gynäkologie";"GYN1";31;0;18;8;126;39;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;227;26;8;0;1;35;0;17
"";"GYNT";3;0;5;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;1;0;0;2;0;3
"";"GYN2";2;0;3;13;0;23;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42;17;1;0;5;23;0;3
"";"PLC1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;2
"Geburtshilfe";"GEB1";107;0;96;26;515;0;0;1;0;32;0;0;0;0;1;0;0;0;0;0;0;0;0;778;69;15;0;0;84;0;66
"";"GEB1.1";8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;
"";"GEB1.1.1";6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;
"Neugeborene";"NEO1";69;0;79;24;423;0;0;1;0;20;0;0;0;2;1;0;0;0;0;0;0;0;0;619;68;13;0;0;81;0;58
"";"NEO1.1";21;0;20;0;7;0;0;0;0;7;0;0;0;12;0;0;0;0;0;0;0;0;0;67;1;1;0;0;2;0;
"";"NEO1.1.1";19;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;1
"";"NEO1.1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";13;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;
"";"RAO1";21;0;26;11;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;65;0;0;0;0;0;0;3
"";"NUK1";3;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;4
"Schwere Verletzungen";"UNF1";8;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;1
"";"UNF1.1";8;0;0;0;8;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;19;0;0;0;1;1;0;1
"";"UNF2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"Total";;1348;30;1223;653;4429;718;19;62;2;136;14;67;239;311;70;189;42;40;14;27;10;17;7;9667;835;133;5;52;1025;3;956
