"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag";"Ausserkantonale Nicht-Listenspitäler"
"Herz";"HER1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"";"HER1.1";5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;
"";"HER1.1.1";5;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;0;0;0;4;1
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"HER1.1.3";2;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1
"";"HER1.1.4";3;0;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;0;0;0;2;
"";"HER1.1.5";3;0;4;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;5;
"";"KAR1";4;0;9;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;11;0;0;0;11;
"";"KAR1.1";24;0;142;23;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;94;0;0;0;94;14
"";"KAR1.1.1";15;0;20;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;43;30;0;0;0;30;3
"";"KAR1.2";1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;28;0;0;0;28;
"";"KAR1.3";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;1
"Nephrologie";"NEP1";10;0;3;0;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;10;0;0;0;10;6
"Urologie";"URO1";51;0;49;30;130;107;0;2;0;3;1;1;0;8;2;1;0;106;1;0;11;0;0;0;503;45;10;0;0;55;21
"";"URO1.1";7;0;11;1;8;9;0;0;0;0;0;1;0;4;0;0;0;6;0;0;0;0;0;0;47;3;0;0;0;3;
"";"URO1.1.1";5;0;6;8;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;27;1;1;0;0;2;1
"";"URO1.1.2";1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;5;0;0;0;5;
"";"URO1.1.3";4;0;5;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;
"";"URO1.1.4";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
"";"URO1.1.5";0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;
"";"URO1.1.6";1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1
"";"URO1.1.7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"URO1.1.8";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"Pneumologie";"PNE1";25;0;21;3;105;0;0;1;0;0;0;1;0;5;0;0;0;1;0;0;0;0;0;0;162;6;0;0;0;6;6
"";"PNE1.1";1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;
"";"PNE1.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
"";"PNE1.3";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
"";"PNE2";3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2
"Thoraxchirurgie";"THO1";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
"";"THO1.1";6;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;
"";"THO1.2";0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"TPL2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"TPL3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"TPL5";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"Bewegungsapparat chirurgisch";"BEW1";22;1;8;33;83;41;0;0;0;2;0;5;33;9;0;28;0;5;3;0;0;1;0;0;274;29;2;1;9;41;46
"";"BEW2";5;1;2;10;16;24;0;0;0;1;0;2;13;1;1;5;1;4;2;0;0;1;0;0;89;10;1;0;3;14;13
"";"BEW3";5;0;4;1;18;2;1;2;0;1;0;0;3;1;2;6;0;4;0;0;0;0;0;0;50;21;3;0;2;26;3
"";"BEW4";0;0;0;5;0;1;0;0;0;1;0;0;7;0;0;0;0;2;0;0;0;0;0;0;16;4;1;0;0;5;2
"";"BEW5";2;0;1;37;73;46;0;0;0;1;1;0;21;0;0;12;2;10;0;0;0;1;0;0;207;16;7;0;1;24;60
"";"BEW6";1;0;1;12;29;71;0;0;0;0;0;0;34;0;2;16;0;3;0;0;0;0;0;0;169;38;2;0;4;44;35
"";"BEW7";1;1;2;29;65;200;0;0;0;3;0;0;49;1;1;12;0;5;0;0;0;0;0;0;369;19;11;0;5;35;14
"";"BEW8";8;0;23;29;38;4;0;0;0;5;0;0;33;0;0;24;0;0;0;0;0;0;0;0;164;44;4;0;0;48;40
"";"BEW8.1";3;0;0;0;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;1;0;0;0;1;
"";"BEW9";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"BEW10";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;1
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"Rheumatologie";"RHE1";12;0;8;2;26;4;0;0;0;0;0;0;2;5;0;2;1;4;0;0;0;0;0;0;66;2;0;0;2;4;3
"";"RHE2";3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;
"Gynäkologie";"GYN1";43;1;11;18;249;15;1;2;0;0;2;0;0;0;4;0;0;20;0;0;0;0;0;0;366;66;12;0;3;81;11
"";"GYN1.1";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"GYN1.2";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
"";"GYN1.3";1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;
"";"GYN1.4";3;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;2;1
"";"GYN2";13;2;4;7;27;7;0;0;0;2;0;0;0;0;0;0;0;11;7;0;0;0;0;0;80;17;4;0;6;27;2
"";"PLC1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"GEB1";83;2;52;31;463;0;1;2;0;28;0;0;0;0;4;0;0;154;0;0;0;0;0;0;820;99;8;0;0;107;44
"";"GEB1.1";7;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;1
"";"GEB1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"NEO1";59;4;48;31;356;0;0;2;0;26;0;0;0;4;3;0;0;116;0;0;0;0;0;0;649;95;8;0;0;103;40
"";"NEO1.1";2;0;6;0;2;0;0;0;0;1;0;0;0;12;0;0;0;2;0;0;0;0;0;0;25;0;0;0;0;0;1
"";"NEO1.1.1";10;1;2;0;3;0;0;0;0;1;0;0;0;17;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;3
"";"NEO1.1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";6;0;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;26;2;0;0;0;2;1
"";"RAO1";15;3;21;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;1
"";"NUK1";2;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;6
"Schwere Verletzungen";"UNF1";3;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;3
"";"UNF1.1";2;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;1;3
"";"UNF2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"Total";;1230;36;1032;565;4908;661;6;31;10;102;16;38;210;310;52;133;33;764;41;21;14;3;5;5;10226;922;97;2;81;1102;764
