"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"URO1.1.1";1;54;0;24;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;89;0;0;0;0;0;0;0;2;1
"";"URO1.1.2";1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;
"";"URO1.1.3";0;39;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;1;0;0;0;1;1;2
"";"URO1.1.4";1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2
"";"URO1.1.5";0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;
"";"URO1.1.6";0;6;0;0;0;0;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;1
"";"URO1.1.7";1;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1
"";"URO1.1.8";0;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;0;0;0;0;0;0;
"Pneumologie";"PNE1";13;263;1;4;0;0;4;0;6;0;1;2;0;5;2;0;0;0;0;0;0;0;0;0;301;0;0;2;0;0;0;2;14;16
"";"PNE1.1";4;2;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;7
"";"PNE1.2";37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;
"";"PNE1.3";0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;
"";"PNE2";2;12;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;20;0;0;0;0;0;0;0;0;2
"Thoraxchirurgie";"THO1";0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;0;
"";"THO1.1";5;36;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;
"";"THO1.2";1;8;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;
"Transplantationen";"TPL1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"TPL2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL5";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";27;511;3;31;1;6;13;1;5;3;0;21;56;3;0;47;0;0;15;0;0;0;1;0;744;27;8;81;3;0;0;119;15;78
"";"BEW2";6;130;0;17;0;6;7;0;0;5;0;6;26;3;1;7;0;0;20;0;0;1;0;1;236;11;3;27;4;0;0;45;1;27
"";"BEW3";2;158;2;2;0;0;8;1;2;0;0;1;9;1;1;10;0;0;4;0;0;0;0;0;201;0;4;5;0;0;0;9;4;10
"";"BEW4";0;13;0;0;0;2;0;0;0;1;0;0;5;0;0;1;0;0;0;0;0;0;0;0;22;0;3;2;0;0;0;5;0;2
"";"BEW5";2;115;0;41;0;11;16;2;4;5;3;0;40;0;0;21;0;2;0;0;0;1;0;0;263;4;18;140;1;0;0;163;4;48
"";"BEW6";0;252;0;12;0;8;12;0;1;6;2;1;50;0;1;21;0;0;0;0;0;0;0;0;366;3;7;51;3;0;0;64;2;33
"";"BEW7";0;674;0;23;0;4;13;0;6;6;20;0;100;2;0;25;0;6;0;0;0;0;0;0;879;1;10;105;6;0;0;122;13;101
"";"BEW8";17;286;5;37;0;1;0;0;0;33;0;0;59;1;1;33;0;0;0;0;0;0;0;0;473;10;0;60;3;0;0;73;0;56
"";"BEW8.1";0;8;0;1;0;0;0;0;0;5;0;0;4;1;0;7;0;0;0;0;0;0;0;0;26;1;0;3;0;0;0;4;0;3
"";"BEW9";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"BEW10";1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;6;0;0;11;0;0;0;11;0;
"";"BEW11";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"Rheumatologie";"RHE1";9;95;0;0;0;0;5;0;0;1;1;0;4;2;0;7;0;1;0;0;0;0;0;0;125;1;0;7;1;0;0;9;5;2
"";"RHE2";5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;
"Gynäkologie";"GYN1";58;489;5;14;8;10;20;3;3;11;10;0;0;3;2;0;0;3;0;0;0;0;0;0;639;9;6;37;2;0;0;54;33;71
"";"GYN1.1";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"GYN1.2";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"GYN1.3";1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;1;2;0;0;3;3;1
"";"GYN1.4";1;19;0;3;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;26;0;0;2;0;0;0;2;1;
"";"GYN2";10;180;0;11;0;0;3;0;1;1;4;0;0;0;4;0;0;2;9;0;0;0;0;0;225;1;10;16;8;0;0;35;14;8
"";"PLC1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"GEB1";77;1867;7;26;4;0;129;6;41;69;36;0;0;0;6;0;0;22;0;0;0;0;0;0;2290;5;35;0;0;0;0;40;111;233
"";"GEB1.1";10;23;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;1
"";"GEB1.1.1";16;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;1
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NEO1";51;1546;5;24;4;0;111;5;37;65;32;0;0;0;4;0;0;21;0;0;0;0;0;0;1905;5;29;0;0;0;0;34;95;195
"";"NEO1.1";4;21;1;3;0;0;2;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;41;0;3;0;0;0;0;3;1;2
"";"NEO1.1.1";22;145;0;0;0;0;0;1;4;3;0;0;0;16;0;0;0;0;0;0;0;0;0;0;191;0;1;0;0;0;0;1;0;8
"";"NEO1.1.1.1";10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;1
"(Radio-)Onkologie";"ONK1";7;154;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;167;0;0;1;0;0;0;1;1;1
"";"RAO1";1;112;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;1
"";"NUK1";4;92;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;1;0;0;0;0;0;1;0;9
"Schwere Verletzungen";"UNF1";5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;1;7
"";"UNF1.1";3;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;1;9
"";"UNF2";1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"Total";;1623;20138;190;675;33;63;699;36;193;254;257;73;372;333;67;207;2;77;98;50;24;338;6;8;25816;156;160;934;70;2;1;1323;764;2254
