"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Neurochirurgie";"NCH1";451;55;0;167;1;0;2;0;0;1;3;0;9;67;0;0;0;0;4;0;0;0;0;0;760;7;1;1;0;0;0;9;0;32
"";"NCH1.1";30;1;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;1;0;0;0;0;0;1;0;2
"";"NCH1.1.1";121;2;2;35;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;0;0;0;0;0;0;0;0;4
"";"NCH1.1.1.1";21;0;0;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;
"";"NCH1.1.2";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;1
"";"NCH1.1.3";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;1;0;
"";"NCH2";0;0;0;3;1;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;
"";"NCH2.1";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1
"";"NCH3";5;5;0;4;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;19;0;1;0;0;0;0;1;0;
"Neurologie";"NEU1";211;90;77;35;27;0;63;38;38;17;56;36;0;84;29;1;12;0;0;30;0;0;2;2;848;1;1;0;0;0;0;2;5;66
"";"NEU2";53;21;23;13;3;0;13;12;7;2;12;14;0;2;6;1;3;2;0;0;0;0;2;0;189;1;1;0;0;0;0;2;2;9
"";"NEU2.1";64;19;8;9;2;0;1;1;7;3;4;2;0;27;1;0;7;0;0;1;0;0;5;0;161;0;0;0;0;0;0;0;2;3
"";"NEU3";624;372;265;210;81;0;136;136;123;56;138;143;0;13;126;0;31;3;0;0;0;0;5;0;2462;4;1;2;0;0;0;7;12;116
"";"NEU3.1";78;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;10
"";"NEU4";4;0;0;21;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;174;0;0;0;0;242;0;0;0;0;0;0;0;0;1
"";"NEU4.1";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;52;0;0;0;0;0;0;0;0;
"";"NEU4.2";40;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;182;0;0;0;0;0;0;0;0;4
"Ophthalmologie";"AUG1";121;49;13;2;0;0;1;0;1;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;194;21;1;0;2;0;0;24;0;27
"";"AUG1.1";89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;93;0;0;0;0;0;0;0;0;
"";"AUG1.2";32;5;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;45;2;1;0;5;7;0;15;0;12
"";"AUG1.3";132;72;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;278;55;0;0;0;0;0;55;0;90
"";"AUG1.4";82;419;102;114;0;0;0;1;0;36;1;0;0;1;0;0;0;0;14;0;0;2;0;0;772;53;0;0;119;0;0;172;0;10
"";"AUG1.5";578;59;276;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;954;25;0;0;0;0;0;25;0;63
"Endokrinologie";"END1";108;50;65;25;22;0;41;34;59;39;29;42;0;34;28;3;11;3;0;0;1;0;2;0;596;3;0;1;3;0;0;7;4;19
"Gastroenterologie";"GAE1";578;585;667;303;186;0;500;353;307;224;306;413;0;72;264;0;111;30;0;0;0;0;0;0;4899;105;12;3;1;0;0;121;14;132
"";"GAE1.1";130;140;118;75;22;0;35;68;80;64;86;76;0;2;33;0;10;1;0;0;0;0;0;0;940;26;14;0;0;0;0;40;1;15
"Viszeralchirugie";"VIS1";378;269;245;269;25;2;42;103;83;34;102;78;0;49;81;0;8;2;1;0;1;0;0;0;1772;62;17;9;2;0;0;90;19;72
"";"VIS1.1";32;19;32;25;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;3;1;0;0;0;0;4;0;
"";"VIS1.2";28;37;24;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;10;1;0;0;0;0;11;0;1
"";"VIS1.3";7;11;10;17;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;
"";"VIS1.4";103;2;41;57;0;0;0;150;1;0;119;15;0;0;78;0;0;0;0;0;0;0;0;0;566;0;0;2;1;0;0;3;13;124
"";"VIS1.4.1";36;0;4;90;0;0;0;101;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;248;0;0;0;0;0;0;0;0;40
"";"VIS1.5";13;29;28;19;0;0;5;11;9;0;0;8;0;0;8;0;0;0;0;0;0;0;0;0;130;3;1;0;0;0;0;4;0;2
"Haematologie";"HAE1";192;22;23;12;4;0;8;13;6;8;16;8;0;156;1;0;5;0;0;0;0;0;1;0;475;3;0;0;0;0;0;3;1;12
"";"HAE1.1";98;0;0;3;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;1
"";"HAE2";302;161;136;171;19;0;60;34;39;25;42;89;0;16;47;2;19;22;0;0;0;0;5;0;1189;24;3;1;0;0;0;28;10;30
"";"HAE3";35;26;23;9;9;0;20;7;10;10;8;24;0;0;12;2;5;0;0;0;0;0;0;0;200;4;3;0;0;0;0;7;1;5
"";"HAE4";34;0;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;3
"";"HAE5";25;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;2
"Gefässe";"GEF1";114;138;56;68;5;0;0;35;1;0;0;9;2;3;2;3;0;0;0;0;0;0;0;0;436;45;4;0;0;0;0;49;1;12
"";"ANG1";353;231;103;127;47;0;1;33;31;2;2;72;0;2;31;3;2;0;0;0;0;0;0;0;1040;81;29;0;0;0;0;110;3;29
"";"GEF2";39;46;63;39;3;0;5;2;2;0;3;1;0;3;0;0;0;1;0;0;0;0;0;0;207;11;0;0;0;0;0;11;0;10
"";"ANG2";169;134;56;107;1;0;1;3;2;1;1;16;0;4;0;0;0;0;0;0;0;0;0;0;495;20;2;0;0;0;0;22;0;14
"";"GEF3";63;28;33;50;0;0;0;9;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;187;8;0;0;1;0;0;9;0;7
"";"ANG3";55;21;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;1;0;0;0;0;0;1;0;4
"";"RAD1";68;23;14;65;4;0;3;3;4;0;7;11;0;0;9;0;0;0;0;0;0;0;0;0;211;6;1;0;0;0;0;7;0;8
"Herz";"HER1";16;1;6;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;1;0;0;0;0;0;1;0;8
"";"HER1.1";48;1;8;6;0;0;0;0;1;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;92;4;0;0;0;0;0;4;0;
"";"HER1.1.1";203;0;149;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439;19;0;0;0;0;0;19;0;3
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;
"";"HER1.1.3";61;0;17;6;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;116;6;0;0;0;0;0;6;0;6
"";"HER1.1.4";75;0;90;92;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;262;9;0;0;0;0;0;9;0;8
"";"HER1.1.5";67;0;43;55;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;172;18;0;0;0;0;0;18;0;5
"";"KAR1";117;96;145;131;21;0;38;41;16;26;37;66;0;4;12;0;0;0;0;0;0;0;0;0;750;73;0;0;0;0;0;73;2;13
"";"KAR1.1";1498;578;1299;1104;12;0;74;11;11;8;98;12;1;13;16;0;0;0;0;0;0;0;0;0;4735;362;0;0;0;0;0;362;0;148
"";"KAR1.1.1";468;69;219;259;0;0;0;1;1;0;80;1;0;24;0;0;0;0;0;0;0;0;0;0;1122;185;0;0;0;0;0;185;0;21
"";"KAR1.2";99;26;65;28;0;0;0;0;0;0;41;0;0;14;0;0;0;0;0;0;0;0;0;0;273;94;0;0;0;0;0;94;0;5
"";"KAR1.3";114;29;64;32;0;0;0;0;1;0;32;4;0;0;0;0;0;0;0;0;0;0;0;0;276;23;0;0;0;0;0;23;0;6
"Nephrologie";"NEP1";264;97;80;17;16;0;41;36;19;74;58;110;0;1;15;1;1;0;0;0;0;0;0;0;830;35;0;0;0;0;0;35;3;16
"Urologie";"URO1";1165;1099;968;599;167;472;716;584;111;330;380;267;0;130;348;18;70;137;5;0;716;10;0;0;8292;178;240;67;8;0;0;493;30;314
"";"URO1.1";147;97;82;49;13;19;37;59;6;52;36;37;0;45;19;0;1;8;0;0;97;1;0;0;805;5;16;2;12;0;0;35;11;31
"";"URO1.1.1";63;95;39;152;0;15;38;39;0;0;0;0;0;0;41;0;0;0;0;0;73;0;0;0;555;7;3;0;0;0;0;10;2;8
"";"URO1.1.2";32;20;14;16;0;0;0;1;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;95;6;0;0;1;0;0;7;0;2
"";"URO1.1.3";53;57;54;34;0;0;13;22;0;0;0;0;0;5;40;0;0;0;0;0;3;0;0;0;281;3;0;1;0;0;0;4;1;7
"";"URO1.1.4";10;7;4;5;0;0;2;4;2;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;3
"";"URO1.1.5";9;8;12;5;0;0;3;1;0;0;0;0;0;24;4;0;0;0;0;0;7;0;0;0;73;0;0;0;0;0;0;0;0;1
"";"URO1.1.6";10;9;0;17;1;0;2;0;0;2;1;0;0;43;3;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;4
"";"URO1.1.7";21;8;0;1;0;0;2;0;0;0;0;0;0;3;15;0;0;0;0;0;4;0;0;0;54;0;0;0;0;0;0;0;0;2
"";"URO1.1.8";8;9;20;1;0;0;2;2;0;4;1;0;0;0;0;0;0;0;0;0;17;0;0;0;64;0;0;0;0;0;0;0;0;1
"Pneumologie";"PNE1";591;311;372;145;144;0;274;159;183;103;134;267;0;70;102;2;23;1;0;0;0;0;4;1;2886;51;6;2;0;0;0;59;15;92
"";"PNE1.1";43;2;16;3;6;0;8;0;2;1;9;2;0;5;3;1;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;1;18
"";"PNE1.2";196;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0;0;0;0;0;0;0;0;1
"";"PNE1.3";27;11;0;1;0;0;1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;1
"";"PNE2";40;13;2;0;0;0;2;0;1;2;12;7;0;26;0;0;0;0;0;6;0;0;0;0;111;1;0;0;0;0;0;1;0;24
"Thoraxchirurgie";"THO1";23;5;7;7;0;0;0;0;0;0;2;1;0;5;2;0;0;0;0;0;0;0;0;0;52;6;0;0;0;0;0;6;0;2
"";"THO1.1";93;59;58;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;1;0;0;0;0;0;1;0;1
"";"THO1.2";38;12;13;17;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;83;3;0;0;0;0;0;3;0;
"Transplantationen";"TPL1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1
"";"TPL2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"TPL3";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;
"";"TPL4";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"TPL5";37;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;2
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";452;646;275;529;124;194;222;214;192;158;140;229;875;126;128;796;52;20;63;0;2;21;1;0;5459;248;105;100;69;0;0;522;21;503
"";"BEW2";94;167;68;180;25;145;56;75;53;108;53;61;400;29;40;183;24;7;54;0;0;32;2;3;1859;83;45;29;67;0;0;224;1;125
"";"BEW3";108;208;61;52;23;5;82;93;87;11;17;27;97;36;40;58;7;6;6;0;0;0;0;0;1024;68;51;8;52;0;0;179;4;61
"";"BEW4";0;16;14;27;0;7;6;4;9;17;2;7;141;1;11;11;2;4;0;0;0;0;0;0;279;9;20;2;1;0;0;32;0;23
"";"BEW5";79;159;97;735;89;403;200;160;125;103;70;72;436;22;78;265;113;70;3;0;0;77;0;0;3356;115;287;170;21;0;0;593;5;383
"";"BEW6";10;290;57;263;42;274;140;113;60;96;64;114;777;0;104;341;45;19;0;0;0;0;0;0;2809;110;99;59;41;0;0;309;3;214
"";"BEW7";23;835;115;576;78;585;165;214;365;193;369;91;1397;3;183;521;92;59;0;0;0;0;0;0;5864;143;332;128;49;0;0;652;13;284
"";"BEW8";302;404;286;636;58;45;1;1;1;488;3;1;685;6;37;559;5;0;0;0;0;0;0;0;3518;264;59;69;7;0;0;399;0;244
"";"BEW8.1";21;12;5;12;3;11;0;0;0;57;0;0;28;5;0;38;0;0;0;0;0;0;0;0;192;21;4;3;2;0;0;30;0;19
"";"BEW9";3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;
"";"BEW10";7;0;1;6;0;0;0;0;0;0;0;0;12;0;0;8;0;0;0;0;0;0;0;0;34;3;2;11;0;0;0;16;0;4
"";"BEW11";5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1
"Rheumatologie";"RHE1";240;109;158;36;34;14;61;46;41;25;33;51;32;38;34;72;21;7;0;0;0;1;1;2;1056;13;7;9;45;0;0;74;5;39
"";"RHE2";65;15;9;1;2;0;1;0;1;3;1;1;0;6;4;0;1;0;0;0;0;0;0;0;110;1;0;0;0;0;0;1;0;1
"Gynäkologie";"GYN1";1688;549;435;485;424;136;298;293;142;255;373;0;0;22;192;0;41;47;15;0;20;7;0;0;5422;286;225;40;52;0;0;603;39;334
"";"GYN1.1";13;0;4;2;0;1;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;1
"";"GYN1.2";9;2;2;3;0;0;1;3;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;2;0;0;2;0;1
"";"GYN1.3";19;18;13;9;1;1;5;5;16;14;8;0;0;0;5;0;0;1;0;0;0;0;0;0;115;3;6;1;2;0;0;12;3;2
"";"GYN1.4";33;21;24;14;7;0;4;20;10;10;9;1;0;2;8;0;0;2;0;0;0;0;0;0;165;6;4;2;2;0;0;14;1;3
"";"GYN2";210;213;90;186;30;37;32;49;68;54;80;1;0;0;54;0;11;21;185;0;0;0;0;0;1321;57;97;16;134;3;0;307;16;38
"";"PLC1";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;26
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"GEB1";2959;2050;2351;826;740;1;1004;948;1540;2146;974;7;0;0;491;0;262;529;0;0;0;0;0;0;16828;448;455;0;0;0;0;903;115;630
"";"GEB1.1";137;30;10;0;2;0;4;0;11;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;205;0;1;0;0;0;0;1;0;11
"";"GEB1.1.1";87;11;0;1;1;0;1;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;106;2;0;0;0;0;0;2;0;2
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NEO1";2330;1684;2069;784;575;0;847;793;1346;1975;783;0;0;34;400;0;239;424;0;0;0;0;0;0;14283;432;404;0;0;0;0;836;100;509
"";"NEO1.1";137;25;120;5;3;0;6;8;20;59;13;0;0;125;2;0;4;6;0;0;0;0;0;0;533;1;17;0;0;0;0;18;1;17
"";"NEO1.1.1";212;185;22;0;4;0;1;1;71;50;13;0;0;163;0;0;1;1;0;0;0;0;0;0;724;1;13;0;0;0;0;14;0;49
"";"NEO1.1.1.1";61;11;1;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;3
"(Radio-)Onkologie";"ONK1";119;188;146;39;1;0;18;48;6;7;41;21;0;56;12;0;1;19;0;0;0;0;0;0;722;18;19;1;0;0;0;38;3;19
"";"RAO1";189;176;223;58;0;0;5;2;0;5;2;0;0;3;24;0;0;0;0;0;12;0;0;0;699;0;0;0;0;0;0;0;0;9
"";"NUK1";102;120;89;52;0;0;18;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;386;3;0;0;0;0;0;3;0;26
"Schwere Verletzungen";"UNF1";88;24;23;0;2;0;2;8;2;3;2;7;0;7;0;1;1;0;0;0;0;0;0;0;170;1;0;0;0;0;0;1;1;34
"";"UNF1.1";97;20;26;5;7;0;16;5;11;7;4;14;2;33;9;3;3;0;0;0;0;0;0;2;264;1;0;0;0;0;0;1;2;29
"";"UNF2";17;3;1;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;1
"Total";;32104;24345;21545;14046;6898;3123;10460;9850;9900;10245;9724;8365;5188;6055;6314;3349;3169;1855;1005;393;1096;1082;204;123;190438;4860;3113;1081;1362;39;1;10456;869;10462
