"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"";"AUG1.5";873;54;338;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;212;0;0;0;0;0;1478;61;0;0;0;0;61
"Endokrinologie";"END1";122;61;48;39;31;1;62;49;47;31;46;55;0;71;20;10;19;2;0;0;2;1;3;0;720;12;2;1;3;0;18
"Gastroenterologie";"GAE1";803;722;652;470;244;0;531;359;318;199;261;458;0;99;296;0;140;70;0;0;0;0;0;0;5622;117;21;5;0;0;143
"";"GAE1.1";210;145;128;132;26;0;51;93;66;38;103;90;0;2;43;0;8;2;0;0;0;0;0;0;1137;46;14;3;0;0;63
"Viszeralchirugie";"VIS1";588;303;271;346;41;3;40;113;79;32;76;72;0;60;113;0;4;1;0;0;0;0;0;0;2142;101;33;16;30;0;180
"";"VIS1.1";46;40;51;52;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;5;1;0;0;0;6
"";"VIS1.2";63;51;27;35;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;7;5;0;0;0;12
"";"VIS1.3";25;15;22;42;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;111;0;0;1;0;0;1
"";"VIS1.4";118;1;25;50;0;0;0;161;0;0;106;8;0;0;97;0;0;0;0;0;0;0;0;0;566;0;1;1;2;0;4
"";"VIS1.4.1";26;0;3;114;1;0;0;113;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;267;0;1;0;0;0;1
"";"VIS1.5";24;34;23;34;0;0;8;13;7;0;0;3;0;0;8;0;0;0;0;0;0;0;0;0;154;2;7;0;0;0;9
"Haematologie";"HAE1";270;25;21;33;1;0;11;15;14;5;12;12;0;192;8;1;4;4;0;0;0;0;0;0;628;10;0;2;0;0;12
"";"HAE1.1";167;2;0;6;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0
"";"HAE2";570;241;141;165;31;1;63;45;46;30;64;66;0;25;43;3;34;33;0;0;0;0;7;0;1608;32;3;2;0;0;37
"";"HAE3";54;31;20;24;9;0;32;12;12;10;15;14;0;1;9;0;6;4;0;0;0;0;3;0;256;10;2;1;0;0;13
"";"HAE4";87;0;12;45;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;0
"";"HAE5";67;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;0
"Gefässe";"GEF1";94;162;55;75;4;1;2;26;2;2;3;9;2;5;1;1;0;0;0;0;0;0;0;0;444;65;8;0;0;0;73
"";"ANG1";461;264;103;161;22;0;2;38;18;13;0;51;0;3;16;3;2;0;0;0;0;0;0;0;1157;146;15;0;0;0;161
"";"GEFA";412;191;115;247;0;0;1;7;0;1;0;16;0;22;1;0;0;0;0;0;0;1;0;0;1014;73;2;0;0;0;75
"";"GEF3";74;49;42;65;0;0;0;11;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;246;10;2;0;0;0;12
"";"ANG3";76;21;13;18;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;131;1;0;0;0;0;1
"";"RAD1";138;30;29;119;4;0;3;10;2;6;3;6;0;3;11;1;1;0;0;0;0;0;0;0;366;15;3;0;14;0;32
"Herz";"HER1";23;5;12;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;54;1;0;0;0;0;1
"";"HER1.1";85;2;19;20;0;0;0;0;0;0;0;1;0;93;0;0;0;0;0;0;0;0;0;0;220;3;0;0;3;0;6
"";"HER1.1.1";367;0;158;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;765;31;0;0;0;0;31
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0
"";"HER1.1.3";122;0;15;21;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;233;0;0;0;0;0;0
"";"HER1.1.4";178;0;112;190;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;490;40;0;0;0;0;40
"";"HER1.1.5";142;0;77;132;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;361;24;0;0;0;0;24
"";"KAR1";138;87;158;148;7;0;32;35;26;23;29;74;0;6;8;0;0;1;0;0;0;0;0;0;772;90;1;0;0;0;91
"";"KAR1.1";2138;908;1957;1501;7;0;56;13;4;9;81;6;0;44;15;0;2;3;0;0;0;0;0;0;6744;500;0;0;0;0;500
"";"KAR1.1.1";886;94;353;422;0;0;0;0;2;0;74;0;0;118;1;0;0;0;0;0;0;0;0;0;1950;420;0;0;0;0;420
"";"KAR1.2";182;10;61;69;0;0;0;1;0;0;30;0;0;32;0;0;0;0;0;0;0;0;0;0;385;193;0;0;0;0;193
"";"KAR1.3";206;32;95;37;0;0;0;0;0;0;29;4;0;1;0;0;0;0;0;0;0;0;0;0;404;34;0;0;0;0;34
"Nephrologie";"NEP1";319;92;94;25;22;0;32;33;19;56;46;99;0;12;20;2;1;0;0;0;0;0;1;0;873;45;0;0;0;0;45
"Urologie";"URO1";1452;1251;974;955;223;525;678;675;132;300;470;260;0;221;417;53;130;121;4;0;685;7;1;0;9534;210;269;90;20;0;589
"";"URO1.1";231;160;98;128;20;14;35;107;3;68;53;18;0;176;26;3;5;14;0;0;101;0;0;0;1260;18;33;9;14;0;74
"";"URO1.1.1";97;107;52;231;1;12;50;39;0;0;0;0;0;0;36;0;0;0;0;0;74;0;0;0;699;4;12;1;0;0;17
"";"URO1.1.2";44;32;16;32;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;136;9;1;1;0;0;11
"";"URO1.1.3";78;53;36;67;0;1;18;30;0;3;1;0;0;8;28;0;0;0;0;0;3;0;0;0;326;2;6;0;0;0;8
"";"URO1.1.4";17;6;5;10;0;0;0;8;1;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0
"";"URO1.1.7";27;13;0;13;0;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;65;0;0;1;0;0;1
"";"URO1.1.8";7;6;20;6;0;0;4;4;0;3;0;0;0;0;0;0;0;0;0;0;20;0;0;0;70;0;0;0;0;0;0
"Pneumologie";"PNE1";887;349;406;118;157;0;258;183;229;88;190;278;1;118;114;2;17;4;0;0;0;0;6;1;3406;68;3;1;0;0;72
"";"PNE1.1";7;6;0;1;0;0;2;1;0;1;2;0;0;17;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0
"";"PNE1.2";702;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;705;0;0;0;0;0;0
"";"PNE1.3";46;11;0;0;0;0;1;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0
"";"PNE2";80;16;2;1;0;0;0;0;5;2;6;1;0;42;0;0;0;0;0;5;0;0;0;0;160;0;0;0;0;0;0
"Thoraxchirurgie";"THO1";61;12;11;11;0;0;0;0;0;0;1;0;0;18;3;0;0;0;0;0;0;0;0;0;117;1;0;0;1;0;2
"";"THO1.1";155;59;40;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;1;0;0;0;0;1
"";"THO1.2";53;23;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;1;0;0;0;0;1
"Transplantationen";"TPL1";13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0
"";"TPL2";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0
"";"TPL3";53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0
"";"TPL4";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
"";"TPL5";82;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;0
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"Bewegungsapparat chirurgisch";"BEW1";640;706;316;658;118;197;242;255;257;163;144;211;1400;134;166;1346;44;17;167;0;0;77;0;0;7258;402;154;153;121;0;830
"";"BEW2";116;160;90;147;33;111;61;82;58;78;31;58;508;76;41;167;15;7;34;0;0;48;0;2;1923;121;39;20;65;0;245
"";"BEW3";146;254;87;70;21;6;46;118;74;14;25;21;120;76;70;102;7;1;3;0;0;1;0;0;1262;65;39;17;92;0;213
"";"BEW4";2;30;9;23;1;9;19;8;10;12;5;10;255;3;21;33;2;3;0;0;0;14;0;0;469;14;26;9;2;0;51
"";"BEW5";44;209;91;737;42;235;113;124;121;34;45;41;615;17;73;322;33;57;27;0;0;155;0;0;3135;141;377;208;59;0;785
"";"BEW6";22;292;50;307;55;301;200;128;62;108;77;114;1012;0;113;536;27;14;3;0;0;76;0;0;3497;126;156;73;33;0;388
"";"BEW7";1;107;20;82;1;19;12;11;4;4;11;4;170;11;1;155;0;49;0;0;0;9;0;0;671;25;41;12;5;0;83
"";"BEW7.1";40;516;81;319;41;257;124;116;174;111;148;78;962;0;119;362;43;2;0;0;0;19;0;0;3512;113;165;46;4;0;328
"";"BEW7.2";1;344;37;233;35;275;101;179;125;94;171;22;887;0;94;248;36;17;0;0;0;27;0;0;2926;90;225;117;35;0;467
"";"BEW7.3";7;66;5;105;15;24;27;21;17;37;37;14;244;0;6;133;7;5;0;0;0;1;0;0;771;15;46;8;14;0;83
"";"BEW8";424;519;365;922;87;48;1;2;2;562;0;2;1240;21;52;753;13;0;0;0;0;0;0;0;5013;417;128;110;21;0;676
"";"BEW8.1";23;7;2;25;1;0;2;0;0;75;0;0;44;11;0;70;0;0;0;0;0;0;0;0;260;36;1;7;17;0;61
"";"BEW9";14;1;0;2;0;0;1;0;0;0;0;0;4;1;0;13;0;0;0;0;0;1;0;0;37;1;0;0;0;0;1
"";"BEW10";5;0;0;4;0;0;1;0;0;0;0;1;2;1;0;5;0;0;0;0;0;4;0;0;23;1;2;1;0;0;4
"";"BEW11";9;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
"Rheumatologie";"RHE1";239;107;141;31;22;16;45;52;31;40;47;60;38;34;45;82;14;3;0;0;0;6;1;1;1055;17;12;9;8;0;46
"";"RHE2";92;18;6;1;3;0;2;1;3;0;5;2;0;16;4;0;1;0;0;0;0;0;1;0;155;1;0;1;0;0;2
"Gynäkologie";"GYN1";1295;555;455;501;329;130;187;322;198;258;349;5;0;29;279;0;44;77;17;0;22;3;0;0;5055;255;205;37;87;0;584
"";"GYNT";96;39;48;28;15;1;17;31;26;15;23;0;0;0;16;0;0;6;0;0;0;0;0;0;361;12;8;1;2;0;23
"";"GYN2";170;168;105;311;2;60;28;66;56;60;113;0;0;0;49;0;11;39;129;0;0;0;0;0;1367;113;93;18;81;0;305
"";"PLC1";27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"";"GEB1";3194;1948;2383;882;825;2;1028;1138;1502;2404;1037;3;0;0;654;0;317;597;0;0;0;0;0;0;17914;519;475;1;0;0;995
"";"GEB1.1";189;38;6;0;1;0;1;1;9;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0
"";"GEB1.1.1";127;10;1;1;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;1;0;0;0;1
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"";"NEO1";2173;1534;1984;832;669;0;886;940;1306;2033;829;0;0;59;550;0;277;489;0;0;0;0;0;0;14561;498;433;0;0;0;931
"";"NEO1.1";109;181;236;11;8;0;11;12;86;297;14;0;0;192;3;0;4;2;0;0;0;0;0;0;1166;2;23;0;0;0;25
"";"NEO1.1.1";536;158;25;0;5;0;2;2;23;4;17;0;0;139;2;0;0;0;0;0;0;0;0;0;913;0;9;0;0;0;9
"";"NEO1.1.1.1";63;8;1;0;0;0;1;0;0;0;1;0;0;5;0;0;0;1;0;0;0;0;0;0;80;0;0;0;0;0;0
"(Radio-)Onkologie";"ONK1";220;232;122;27;0;0;10;34;3;6;60;12;0;63;8;0;0;35;0;0;0;0;1;0;833;31;21;1;0;0;53
"";"RAO1";250;207;257;86;0;0;2;2;2;3;1;0;0;1;28;0;0;0;0;0;19;0;0;0;858;1;0;0;0;0;1
"";"NUK1";202;121;120;97;1;0;11;0;1;1;0;0;0;2;2;1;1;0;0;0;0;0;0;0;560;9;0;0;0;0;9
"Schwere Verletzungen";"UNF1";124;33;19;1;6;0;3;8;8;1;2;5;1;9;0;1;2;0;0;0;0;0;1;0;224;0;0;1;0;0;1
"";"UNF1.1";150;48;20;5;14;0;12;6;8;8;9;15;0;31;2;1;5;1;0;0;0;0;1;0;336;0;0;1;0;0;1
"";"UNF2";60;2;4;0;0;0;0;1;0;1;0;1;0;23;0;1;1;0;0;0;0;0;0;0;94;0;0;0;0;0;0
"Total";;41916;27451;24335;18292;7266;2730;10428;11164;10329;10782;10368;8347;7909;8096;7685;5072;3476;2206;1584;878;1099;1096;207;128;222844;6767;3766;1392;1733;61;13719
