"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Ausserkantonale Nicht-Listenspitäler"
"Herz";"HER1";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1
"";"HER1.1";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"HER1.1.1";5;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"HER1.1.3";4;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1
"";"HER1.1.4";8;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;
"";"HER1.1.5";4;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;2;
"";"KAR1";8;0;2;20;0;0;0;0;0;5;0;0;0;1;10;0;0;0;0;0;0;0;0;0;46;3;0;0;0;0;3;2
"";"KAR1.1";105;1;15;200;0;0;1;0;0;2;0;0;0;3;14;0;0;0;0;0;0;0;0;0;341;18;0;0;0;0;18;10
"";"KAR1.1.1";39;0;6;30;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;78;17;0;0;0;0;17;
"";"KAR1.2";7;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;4;0;0;0;0;4;
"";"KAR1.3";9;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;0;1;
"Nephrologie";"NEP1";9;0;0;3;0;0;1;0;0;14;0;1;0;0;11;0;0;0;0;0;0;0;0;0;39;1;0;0;0;0;1;
"Urologie";"URO1";80;3;5;99;1;5;6;0;0;53;5;0;0;6;262;0;0;2;1;0;4;0;0;0;532;9;18;0;2;0;29;14
"";"URO1.1";8;0;0;4;0;1;0;0;0;12;0;0;0;0;13;0;0;0;0;0;1;0;0;0;39;0;1;0;2;0;3;3
"";"URO1.1.1";13;3;1;21;0;0;1;0;0;0;0;0;0;0;16;0;0;0;0;0;1;0;0;0;56;0;0;0;0;0;0;1
"";"URO1.1.2";2;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"URO1.1.3";6;0;3;3;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;26;1;0;0;0;0;1;1
"";"URO1.1.4";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"URO1.1.5";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"URO1.1.6";0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"URO1.1.7";2;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;12;0;0;0;0;0;0;1
"";"URO1.1.8";0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"Pneumologie";"PNE1";41;1;1;27;0;0;4;0;0;14;3;2;0;4;84;1;0;0;0;0;0;0;1;0;183;2;0;0;0;0;2;3
"";"PNE1.1";3;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;
"";"PNE1.2";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1
"";"PNE1.3";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"PNE2";2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4
"Thoraxchirurgie";"THO1";2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;1;1
"";"THO1.1";4;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;1
"";"THO1.2";2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"TPL2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"TPL3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"TPL5";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"Bewegungsapparat chirurgisch";"BEW1";23;4;1;67;0;3;0;0;0;21;2;2;74;8;100;52;0;0;0;0;0;0;0;0;357;15;7;0;5;0;27;30
"";"BEW2";5;2;0;24;0;3;0;0;0;12;1;1;38;1;32;10;0;0;1;0;0;0;0;0;130;6;0;0;13;0;19;5
"";"BEW3";6;1;0;7;0;0;1;1;0;1;1;0;14;5;29;7;0;0;0;0;0;0;0;0;73;5;0;0;16;0;21;10
"";"BEW4";0;0;1;2;0;0;0;0;0;0;0;0;12;0;5;1;0;0;0;0;0;0;0;0;21;0;0;0;1;0;1;1
"";"BEW5";1;0;0;88;0;13;7;0;0;17;1;1;31;0;54;13;0;4;0;0;0;0;0;0;230;2;13;2;2;0;19;20
"";"BEW6";1;2;0;36;0;6;0;0;0;13;2;1;67;0;36;23;0;0;0;0;0;0;0;0;187;2;2;1;5;0;10;16
"";"BEW7";1;3;0;65;0;6;1;0;0;17;3;1;132;0;138;33;0;2;0;0;0;0;0;0;402;9;21;2;5;0;37;17
"";"BEW8";13;2;4;82;1;2;0;0;0;38;0;0;68;0;22;34;0;0;0;0;0;0;0;0;266;12;3;0;1;0;16;3
"";"BEW8.1";0;0;0;1;1;0;0;0;0;5;0;0;1;0;0;2;0;0;0;0;0;0;0;0;10;5;0;0;0;0;5;2
"";"BEW9";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"BEW10";1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"Rheumatologie";"RHE1";4;0;4;5;0;0;0;0;0;2;0;0;5;2;28;6;0;0;0;0;0;0;0;0;56;0;0;0;9;0;9;1
"";"RHE2";0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;1;1
"Gynäkologie";"GYN1";50;3;2;97;4;7;2;1;0;23;5;0;0;1;125;0;0;1;0;0;0;0;0;0;321;14;22;0;9;0;45;15
"";"GYN1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"GYN1.2";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"GYN1.3";0;0;1;2;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;
"";"GYN1.4";4;0;1;5;0;0;0;0;0;3;0;0;0;0;8;0;0;0;0;0;0;0;0;0;21;0;1;0;1;0;2;
"";"GYN2";9;0;0;25;0;0;0;0;0;2;1;0;0;0;35;0;0;1;10;0;0;0;0;0;83;0;5;0;17;1;23;1
"";"PLC1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Geburtshilfe";"GEBH";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"GEB1";78;2;2;122;4;0;13;2;2;182;19;0;0;0;351;0;0;19;0;0;0;0;0;0;796;5;25;0;0;0;30;12
"";"GEB1.1";8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;
"";"GEB1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"Neugeborene";"NEOG";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"NEO1";54;1;2;119;3;0;8;0;3;172;14;0;0;3;285;0;0;16;0;0;0;0;0;0;680;7;23;0;0;0;30;9
"";"NEO1.1";13;0;2;0;1;0;0;0;0;5;1;0;0;15;1;0;0;0;0;0;0;0;0;0;38;0;1;0;0;0;1;
"";"NEO1.1.1";5;3;0;0;0;0;0;0;0;5;0;0;0;12;0;0;0;0;0;0;0;0;0;0;25;0;1;0;0;0;1;2
"";"NEO1.1.1.1";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";8;0;2;0;0;0;0;0;0;1;0;0;0;0;9;0;0;1;0;0;0;0;0;0;21;1;0;0;0;0;1;
"";"RAO1";8;0;0;2;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;
"";"NUK1";11;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;
"Schwere Verletzungen";"UNF1";6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1
"";"UNF1.1";8;0;0;0;0;0;0;1;0;2;0;0;0;3;9;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;1
"";"UNF2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"Total";;1529;74;147;2037;29;51;91;16;10;1267;145;33;473;408;4821;212;2;58;32;31;8;2;20;1;11497;207;186;7;220;7;627;547
