"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"NCH1.1.1.1";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"NCH1.1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH3";2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"Neurologie";"NEU1";30;6;2;5;0;0;0;2;26;0;1;2;0;17;0;1;0;0;0;2;0;0;1;95;0;0;0;0;0;0;0;8
"";"NEU2";10;1;0;2;0;0;0;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;3
"";"NEU2.1";10;0;0;0;0;0;0;0;8;0;0;0;0;8;0;0;0;1;0;0;0;0;0;27;0;0;0;0;0;0;0;
"";"NEU3";58;35;5;21;0;0;3;0;87;1;2;7;0;0;0;0;0;0;0;0;0;0;0;219;0;0;0;0;0;0;1;7
"";"NEU3.1";5;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"NEU4";2;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;22;0;0;0;32;0;0;0;0;0;0;0;1
"";"NEU4.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;0;0;
"";"NEU4.2";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;22;0;0;0;0;0;0;0;1
"Ophthalmologie";"AUG1";18;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;0;0;0;0;1;0;3
"";"AUG1.1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;8;0;0;0;0;0;0;0;
"";"AUG1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;1
"";"AUG1.3";14;11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;39;3;0;0;2;0;5;0;7
"";"AUG1.4";3;88;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;103;1;0;0;2;0;3;0;
"";"AUG1.5";91;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;136;3;0;0;0;0;3;0;5
"Endokrinologie";"END1";11;5;2;0;0;0;1;1;44;1;0;14;0;3;0;0;0;0;0;0;2;0;0;84;0;0;0;0;0;0;0;1
"Gastroenterologie";"GAE1";67;41;15;34;0;0;6;7;284;2;1;18;0;14;3;0;1;1;0;0;0;0;0;494;4;0;0;0;0;4;2;29
"";"GAE1.1";11;11;2;9;0;0;0;0;60;0;0;7;0;0;0;0;0;0;0;0;0;0;0;100;3;2;2;0;0;7;2;3
"Viszeralchirugie";"VIS1";44;27;10;24;3;0;0;4;72;2;0;5;0;0;1;0;0;0;0;0;0;0;0;192;4;5;1;6;0;16;4;6
"";"VIS1.1";3;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;1
"";"VIS1.2";3;9;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0;0;1;0;1
"";"VIS1.3";3;1;2;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;
"";"VIS1.4";21;0;2;3;0;0;0;26;0;0;6;1;0;0;11;0;0;0;0;0;0;0;0;70;0;0;1;0;0;1;2;39
"";"VIS1.4.1";4;0;0;11;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;7
"";"VIS1.5";1;1;1;3;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;0;0;1;0;
"Haematologie";"HAE1";14;0;0;1;0;0;0;0;11;1;0;0;0;8;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;
"";"HAE1.1";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;
"";"HAE2";48;21;4;13;0;0;0;1;37;0;0;5;0;1;0;0;0;0;0;0;0;0;1;131;3;1;0;0;0;4;0;6
"";"HAE3";6;7;0;10;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;
"";"HAE4";3;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"HAE5";4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"Gefässe";"GEF1";2;27;1;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;2;0;0;0;0;2;0;8
"";"ANG1";47;28;3;17;0;0;0;0;14;0;0;2;0;1;0;1;0;0;0;0;0;0;0;113;5;2;0;0;0;7;0;3
"";"GEFA";38;30;6;21;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;97;2;1;0;0;0;3;0;2
"";"GEF3";6;7;3;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;1
"";"ANG3";2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;1;0;
"";"RAD1";10;4;1;9;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;1
"Herz";"HER1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HER1.1";2;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;2
"";"HER1.1.1";15;0;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;1;0;0;0;0;1;0;1
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"";"HER1.1.3";5;0;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"HER1.1.4";7;0;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;1;0;0;0;0;1;0;1
"";"HER1.1.5";5;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;
"";"KAR1";15;8;7;6;0;0;0;0;26;1;0;10;0;0;0;0;0;0;0;0;0;0;0;73;5;0;0;0;0;5;0;
"";"KAR1.1";201;46;245;92;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;589;10;0;0;0;0;10;0;16
"";"KAR1.1.1";63;7;22;22;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;124;16;0;0;0;0;16;0;3
"";"KAR1.2";13;0;3;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;20;9;0;0;0;0;9;0;2
"";"KAR1.3";23;2;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;1;0;0;0;0;1;0;
"Nephrologie";"NEP1";30;14;0;1;0;0;0;0;15;2;0;6;0;0;0;0;0;0;0;0;0;0;0;68;3;0;0;0;0;3;0;2
"Urologie";"URO1";132;75;20;41;3;21;3;13;115;8;0;14;0;15;4;6;0;0;3;0;452;7;0;932;6;19;4;1;0;30;0;18
"";"URO1.1";13;9;6;5;0;1;0;0;2;1;1;2;0;11;0;0;0;0;0;0;63;0;0;114;1;2;0;0;0;3;2;6
"";"URO1.1.1";5;7;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;61;0;0;0;0;0;0;0;2
"";"URO1.1.2";3;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"URO1.1.3";5;4;2;5;0;0;0;8;0;0;0;0;0;3;4;0;0;0;0;0;1;0;0;32;0;0;0;0;0;0;0;
"";"URO1.1.4";3;1;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"URO1.1.7";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;
"";"URO1.1.8";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16;0;0;18;0;0;0;0;0;0;0;
"Pneumologie";"PNE1";91;26;6;9;0;0;2;2;185;0;4;11;0;9;0;0;0;0;0;0;0;0;0;345;3;0;0;0;0;3;2;13
"";"PNE1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"PNE1.2";26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;
"";"PNE1.3";1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"PNE2";7;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;3
"Thoraxchirurgie";"THO1";5;2;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"THO1.1";25;8;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;
"";"THO1.2";1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"TPL3";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL5";3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";49;53;12;43;0;8;8;10;209;6;0;17;101;16;2;94;0;1;11;0;0;21;0;661;29;29;8;5;0;71;4;46
"";"BEW2";10;14;1;3;1;7;5;2;48;3;0;6;52;5;0;20;0;0;3;0;0;21;0;201;3;4;3;2;0;12;1;8
"";"BEW3";13;18;0;5;0;0;0;4;57;0;1;2;10;5;5;8;0;0;0;0;0;0;0;128;1;2;2;5;0;10;1;5
"";"BEW4";0;3;0;2;1;1;3;0;8;2;0;0;26;1;0;1;0;0;0;0;0;5;0;53;0;2;0;0;0;2;0;3
"";"BEW5";4;11;6;50;1;21;5;2;103;1;0;4;50;1;0;18;0;6;1;0;0;59;0;343;11;61;18;1;0;91;0;29
"";"BEW6";2;13;3;31;0;21;24;2;52;16;1;9;94;0;15;45;0;0;0;0;0;17;0;345;4;27;1;2;0;34;2;13
"";"BEW7";0;4;3;7;0;1;1;0;4;0;0;0;16;0;0;14;0;4;0;0;0;4;0;58;1;1;0;0;0;2;0;3
"";"BEW7.1";6;39;1;20;0;5;3;1;147;2;0;3;64;0;0;39;0;0;0;0;0;5;0;335;4;11;0;1;0;16;0;8
"";"BEW7.2";0;16;3;16;0;21;2;3;108;4;5;4;52;0;0;16;0;1;0;0;0;5;0;256;2;20;7;1;0;30;0;7
"";"BEW7.3";1;9;0;6;0;1;0;0;13;0;0;1;11;0;0;5;0;0;0;0;0;0;0;47;0;4;0;3;0;7;0;
"";"BEW8";36;69;19;80;0;1;0;0;2;48;0;0;104;1;0;74;0;0;0;0;0;0;0;434;34;17;7;0;0;58;0;29
"";"BEW8.1";0;1;0;0;0;0;1;0;0;5;0;0;0;0;0;7;0;0;0;0;0;0;0;14;2;0;0;2;0;4;0;4
"";"BEW9";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;
"";"BEW10";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;0;0;1;0;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Rheumatologie";"RHE1";25;3;6;3;0;4;0;0;25;1;0;4;0;3;0;4;0;0;0;0;0;4;0;82;0;1;0;0;0;1;0;1
"";"RHE2";7;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"Gynäkologie";"GYN1";131;30;21;37;13;8;3;24;173;14;2;1;0;3;2;0;0;2;11;0;13;1;0;489;10;17;5;4;0;36;7;32
"";"GYNT";10;3;2;3;0;0;0;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;3
"";"GYN2";15;12;6;17;0;3;0;1;48;2;1;0;0;0;0;0;0;1;23;0;0;0;0;129;6;8;2;3;0;19;0;4
"";"PLC1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
"Geburtshilfe";"GEB1";321;77;50;62;10;0;42;38;1219;143;3;0;0;0;2;0;0;7;0;0;0;0;0;1974;18;52;0;0;0;70;6;37
"";"GEB1.1";17;2;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;1
"";"GEB1.1.1";8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"Neugeborene";"NEO1";213;59;40;58;9;0;37;35;1048;120;2;0;0;9;1;0;0;6;0;0;0;0;0;1637;17;50;0;0;0;67;6;31
"";"NEO1.1";9;8;3;1;1;0;0;0;68;21;0;0;0;6;0;0;0;0;0;0;0;0;0;117;0;2;0;0;0;2;0;1
"";"NEO1.1.1";41;9;0;0;0;0;0;0;18;0;0;0;0;3;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;3
"";"NEO1.1.1.1";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;4
"(Radio-)Onkologie";"ONK1";38;35;2;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;84;1;0;0;0;0;1;0;2
"";"RAO1";29;35;10;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;12;0;0;92;0;0;0;0;0;0;0;3
"";"NUK1";13;15;13;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;
"Schwere Verletzungen";"UNF1";2;6;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;3
"";"UNF1.1";12;5;0;0;0;0;0;0;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;3
"";"UNF2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Total";;3666;1989;878;1203;61;138;216;272;8644;464;56;485;607;814;87;411;5;39;189;48;733;360;9;21374;276;392;82;76;3;829;60;1029
