"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"NEU4";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;6;0;0;0;0;0;0;0;
"";"NEU4.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;
"";"NEU4.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;12;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;2;0;0;0;0;2;0;2
"";"AUG1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;
"";"AUG1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;3;0;1
"";"AUG1.3";6;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;15;2;0;0;1;0;3;0;2
"";"AUG1.4";6;1;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;0;0;0;0;6;0;
"";"AUG1.5";38;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;60;6;0;0;0;0;6;0;1
"Endokrinologie";"END1";8;0;1;1;23;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;36;0;0;0;0;0;0;0;1
"Gastroenterologie";"GAE1";22;0;28;8;197;0;1;1;2;0;0;1;0;1;1;0;0;30;0;0;0;0;0;292;24;1;0;0;0;25;0;8
"";"GAE1.1";13;0;7;9;20;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;52;8;0;0;0;0;8;0;3
"Viszeralchirugie";"VIS1";29;0;24;15;17;1;0;1;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;93;14;3;0;1;0;18;0;4
"";"VIS1.1";1;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"VIS1.2";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;4;0;
"";"VIS1.3";0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"VIS1.4";5;0;1;5;0;0;0;4;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;4
"";"VIS1.4.1";1;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2
"";"VIS1.5";2;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"Haematologie";"HAE1";10;0;8;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;21;2;0;0;0;0;2;0;
"";"HAE1.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"HAE2";18;6;4;2;19;1;0;0;0;0;0;0;0;5;0;0;1;9;0;0;0;0;0;65;8;0;0;0;0;8;0;2
"";"HAE3";1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"HAE4";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HAE5";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Gefässe";"GEF1";5;1;1;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;2;0;3
"";"ANG1";11;1;4;4;15;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;37;15;0;0;0;0;15;0;2
"";"GEFA";10;0;5;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;27;12;0;0;0;0;12;0;1
"";"GEF3";4;0;4;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;2;0;
"";"ANG3";2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"RAD1";3;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;0;0;2;0;1
"Herz";"HER1";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;
"";"HER1.1";2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
"";"HER1.1.1";4;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;0;0;0;0;4;0;
"";"HER1.1.2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"HER1.1.3";3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"HER1.1.4";6;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;4;0;0;0;0;4;0;
"";"HER1.1.5";2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;4;0;1
"";"KAR1";2;0;15;1;5;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;26;11;0;0;0;0;11;0;1
"";"KAR1.1";37;1;133;14;5;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;193;81;0;0;0;0;81;0;13
"";"KAR1.1.1";19;0;23;7;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;52;45;0;0;0;0;45;0;1
"";"KAR1.2";2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13;0;0;0;0;13;0;
"";"KAR1.3";1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;3;0;
"Nephrologie";"NEP1";19;0;4;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;7;0;0;0;0;7;0;4
"Urologie";"URO1";37;1;60;23;139;122;1;0;0;2;0;1;0;9;4;0;4;68;0;0;10;0;0;481;39;5;0;1;0;45;0;13
"";"URO1.1";4;0;8;5;10;4;1;1;0;0;1;0;0;4;0;0;1;6;0;0;1;0;0;46;1;0;0;0;0;1;0;
"";"URO1.1.1";7;0;9;8;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;32;1;1;0;0;0;2;0;
"";"URO1.1.2";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;1
"";"URO1.1.3";4;0;3;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1
"";"URO1.1.4";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"URO1.1.7";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"URO1.1.8";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Pneumologie";"PNE1";30;0;7;2;105;0;0;0;1;0;0;1;0;3;1;0;0;3;0;0;0;0;0;153;3;0;0;0;0;3;0;7
"";"PNE1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"PNE1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"PNE1.3";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"PNE2";1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
"Thoraxchirurgie";"THO1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"THO1.1";7;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;1;0;
"";"THO1.2";3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL3";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL5";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";19;1;9;30;82;28;0;1;0;1;0;5;51;5;1;50;0;2;6;0;0;0;0;291;40;6;1;8;0;55;0;43
"";"BEW2";5;0;6;3;16;8;0;0;0;3;0;0;15;5;0;3;0;1;1;0;0;0;0;66;13;1;0;2;0;16;0;17
"";"BEW3";2;0;7;4;12;2;0;1;1;0;0;0;6;4;0;5;0;1;0;0;0;0;0;45;11;0;2;3;0;16;0;11
"";"BEW4";0;0;0;3;0;1;0;0;0;0;0;0;13;0;0;2;0;1;0;0;0;0;0;20;4;1;0;0;0;5;0;4
"";"BEW5";0;2;1;36;22;26;0;0;0;0;0;0;20;1;0;17;0;7;3;0;0;0;0;135;16;10;1;2;0;29;0;54
"";"BEW6";0;1;2;16;35;45;1;1;0;1;1;0;25;0;4;17;0;2;0;0;0;0;0;151;13;3;0;0;0;16;0;36
"";"BEW7";0;1;1;4;1;4;0;0;0;0;0;0;5;1;0;4;0;5;0;0;0;0;0;26;1;2;0;0;0;3;0;4
"";"BEW7.1";2;0;4;13;32;74;0;0;0;3;0;0;34;0;3;11;0;0;0;0;0;0;0;176;20;6;0;0;0;26;0;10
"";"BEW7.2";0;0;1;1;20;68;0;1;0;0;4;0;20;0;0;9;1;0;0;0;0;0;0;125;12;6;0;4;0;22;0;10
"";"BEW7.3";1;0;0;1;13;8;0;0;0;1;2;0;3;0;0;4;0;0;0;0;0;0;0;33;2;3;0;2;0;7;0;3
"";"BEW8";11;0;28;51;33;8;0;0;0;6;0;0;36;0;3;26;0;0;0;0;0;0;0;202;64;8;0;1;0;73;0;57
"";"BEW8.1";0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"BEW9";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"BEW10";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"Rheumatologie";"RHE1";8;0;7;0;16;3;0;0;0;0;1;0;0;3;0;3;0;1;0;0;0;0;0;42;3;0;0;0;0;3;0;2
"";"RHE2";4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"Gynäkologie";"GYN1";52;0;14;13;132;15;0;3;0;0;0;0;0;1;0;0;0;10;0;0;0;0;0;240;43;10;0;5;0;58;0;18
"";"GYNT";7;0;3;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;3;0;0;0;0;3;0;2
"";"GYN2";7;0;5;6;2;23;0;0;0;0;0;0;0;0;2;0;0;7;2;0;0;0;0;54;21;6;0;2;0;29;0;2
"";"PLC1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Geburtshilfe";"GEB1";100;1;64;25;452;0;0;2;0;23;3;0;0;0;4;0;0;142;0;0;0;0;0;816;96;14;0;0;0;110;0;23
"";"GEB1.1";7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2
"";"GEB1.1.1";2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"Neugeborene";"NEO1";64;0;66;24;354;0;0;2;0;19;0;0;0;1;2;0;0;108;0;0;0;0;0;640;89;12;0;0;0;101;0;22
"";"NEO1.1";3;0;5;1;3;0;0;0;0;6;0;0;0;11;0;0;0;0;0;0;0;0;0;29;2;2;0;0;0;4;0;
"";"NEO1.1.1";20;2;1;0;3;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;4
"";"NEO1.1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";11;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;24;5;2;0;0;0;7;0;
"";"RAO1";6;0;21;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;
"";"NUK1";9;0;7;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;0;0;0;0;2;0;
"Schwere Verletzungen";"UNF1";4;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;3
"";"UNF1.1";16;0;0;0;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;3
"";"UNF2";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Total";;1393;34;1138;559;4785;543;4;36;11;94;27;36;242;280;60;191;30;650;37;19;14;5;7;10195;943;120;4;82;3;1152;4;777
