"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"";"ANG3";78;26;13;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;146;2;0;0;0;0;2
"";"RAD1";106;29;35;176;4;0;3;4;0;0;3;8;0;6;2;2;0;0;0;0;0;0;0;0;378;13;0;0;19;0;32
"Herz";"HER1";8;7;7;11;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;35;6;0;0;0;0;6
"";"HER1.1";71;1;20;12;0;0;0;0;1;0;0;0;0;70;0;1;0;0;0;0;0;0;0;0;176;2;1;0;1;0;4
"";"HER1.1.1";282;0;205;222;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;713;28;0;0;0;0;28
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0
"";"HER1.1.3";103;0;33;22;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;235;7;0;0;0;0;7
"";"HER1.1.4";184;0;113;180;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;483;35;0;0;0;0;35
"";"HER1.1.5";117;0;85;112;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;327;16;0;0;0;0;16
"";"KAR1";219;115;173;142;3;0;22;57;25;22;28;69;0;8;8;0;0;0;0;0;0;0;0;0;891;93;6;0;0;0;99
"";"KAR1.1";1997;931;1874;1443;3;0;40;8;5;9;36;11;0;49;19;0;1;6;0;0;0;0;0;0;6432;482;90;0;0;0;572
"";"KAR1.1.1";658;13;213;295;0;0;0;1;1;0;0;2;0;74;0;0;0;0;0;0;0;0;0;0;1257;130;0;0;0;0;130
"";"KAR1.2";380;97;245;300;0;0;0;0;0;1;153;0;0;33;0;0;0;0;0;0;0;0;0;0;1209;410;0;0;0;0;410
"";"KAR1.3";202;39;78;63;0;0;0;0;0;0;23;8;0;1;0;0;0;0;0;0;0;0;0;0;414;38;1;0;0;0;39
"Nephrologie";"NEP1";281;106;82;19;22;0;40;45;23;66;42;90;0;12;30;3;0;0;0;0;0;0;0;0;861;38;0;1;0;0;39
"Urologie";"URO1";1551;1267;975;964;195;486;645;639;147;294;424;297;0;205;483;53;137;157;1;0;847;5;0;0;9772;176;221;91;15;0;503
"";"URO1.1";152;148;96;137;10;15;23;96;5;85;46;27;0;134;49;2;8;7;0;0;137;0;0;0;1177;8;38;13;7;0;66
"";"URO1.1.1";89;100;68;238;0;14;31;23;0;0;0;0;0;0;67;0;0;0;0;0;76;0;0;0;706;3;18;0;0;0;21
"";"URO1.1.2";34;24;17;28;0;0;0;0;0;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;121;6;4;0;1;0;11
"";"URO1.1.3";42;30;28;39;0;0;14;9;1;0;0;0;0;7;19;0;0;0;0;0;0;0;0;0;189;1;4;0;0;0;5
"";"URO1.1.4";19;18;9;14;0;0;2;8;3;0;2;0;0;4;6;0;0;0;0;0;0;0;0;0;85;2;0;0;0;0;2
"";"URO1.1.7";21;10;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;66;0;0;4;0;0;4
"";"URO1.1.8";14;10;20;0;0;0;1;9;0;5;0;0;0;2;1;0;0;0;0;0;19;0;0;0;81;0;0;0;0;0;0
"Pneumologie";"PNE1";818;371;424;84;148;0;287;179;232;108;195;298;0;108;123;0;37;9;0;0;0;0;5;3;3429;71;6;1;0;0;78
"";"PNE1.1";20;4;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0
"";"PNE1.2";638;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;642;0;0;0;0;0;0
"";"PNE1.3";43;14;3;0;0;0;2;0;1;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0
"";"PNE2";103;34;3;0;0;0;5;0;7;0;20;2;0;84;0;0;0;0;0;10;0;0;0;0;268;0;0;0;0;0;0
"Thoraxchirurgie";"THO1";122;43;46;27;0;0;1;0;2;2;5;4;0;11;5;0;0;0;0;0;0;0;0;0;268;2;7;2;0;0;11
"";"THO1.1";154;72;50;58;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;335;3;6;1;0;0;10
"";"THO1.2";59;28;15;21;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;125;3;5;0;0;0;8
"Transplantationen";"TPL1";11;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
"";"TPL2";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0
"";"TPL3";61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0
"";"TPL4";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
"";"TPL5";74;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"Bewegungsapparat chirurgisch";"BEW1";689;840;388;566;120;150;263;299;251;148;120;249;1370;219;190;1263;47;10;234;0;1;83;0;0;7500;292;160;101;117;0;670
"";"BEW2";136;127;80;131;25;109;79;88;45;89;27;80;570;74;72;216;24;4;37;0;0;52;2;7;2074;102;61;26;48;0;237
"";"BEW3";186;308;110;62;13;9;31;102;70;14;26;39;91;67;58;112;7;2;20;0;0;0;0;0;1327;53;34;17;114;0;218
"";"BEW4";0;52;15;24;1;6;20;11;5;7;3;5;207;0;8;59;4;3;2;0;0;16;0;0;448;26;43;5;0;0;74
"";"BEW5";46;236;82;754;51;237;86;98;103;30;43;145;629;28;81;401;22;32;12;0;0;82;0;0;3198;130;307;202;62;0;701
"";"BEW6";14;283;68;273;41;287;285;188;75;100;98;75;986;1;119;573;22;14;15;0;0;179;0;0;3696;59;219;65;32;0;375
"";"BEW7";1;107;33;70;0;12;13;9;6;1;5;12;130;22;3;129;0;44;0;0;0;10;0;0;607;20;56;9;10;0;95
"";"BEW7.1";52;487;124;265;10;237;127;132;195;102;160;101;1010;0;109;366;48;0;0;0;0;25;0;0;3550;78;236;48;12;0;374
"";"BEW7.1.1";15;59;23;34;7;10;15;13;18;16;6;5;136;0;2;105;1;0;0;0;0;1;0;0;466;6;39;0;5;0;50
"";"BEW7.2";1;314;74;286;7;281;110;173;159;105;181;54;871;0;75;291;41;0;0;0;0;50;0;0;3073;98;219;154;34;0;505
"";"BEW7.2.1";0;18;3;20;0;9;8;16;3;7;8;0;77;0;6;42;0;0;0;0;0;0;0;0;217;7;38;9;12;0;66
"";"BEW8";284;354;309;700;69;36;1;0;0;338;0;0;916;23;49;611;29;0;0;0;0;0;0;0;3719;320;140;84;25;0;569
"";"BEW8.1";59;35;32;120;12;1;0;0;0;120;0;0;204;17;5;139;3;0;0;0;0;0;0;0;747;74;22;14;4;0;114
"";"BEW9";8;0;0;1;0;0;0;0;0;0;0;0;0;1;0;13;0;0;0;0;0;0;0;0;23;1;0;0;0;0;1
"";"BEW10";9;1;0;3;0;0;0;0;0;0;0;0;2;0;0;16;0;0;0;0;0;6;0;0;37;1;5;0;0;0;6
"";"BEW11";7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
"Rheumatologie";"RHE1";184;101;68;20;25;5;49;37;24;29;18;43;12;30;24;51;14;1;0;0;0;1;3;2;741;5;4;3;2;0;14
"";"RHE2";170;19;8;2;3;0;2;4;6;3;4;3;0;20;1;0;1;0;0;0;0;0;0;0;246;3;0;0;0;0;3
"Gynäkologie";"GYN1";1285;519;497;487;321;139;165;329;193;264;379;5;0;35;215;0;38;46;2;0;21;0;0;0;4940;185;167;27;104;0;483
"";"GYNT";91;38;55;44;1;0;1;28;19;23;26;0;0;0;0;0;1;1;0;0;0;0;0;0;328;12;5;1;3;0;21
"";"GYN2";191;201;129;417;1;59;0;63;81;64;84;0;0;0;51;0;1;23;0;0;0;0;0;0;1365;97;88;9;75;0;269
"";"PLC1";41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0
"Geburtshilfe";"GEB1";3215;1988;2360;881;856;0;973;1169;1479;2376;979;3;0;0;678;0;291;468;0;0;0;0;0;0;17716;494;506;0;1;0;1001
"";"GEB1.1";169;34;12;1;0;0;1;1;7;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;232;1;1;0;0;0;2
"";"GEB1.1.1";117;2;3;0;0;0;0;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;0;0
"Neugeborene";"NEO1";2233;1464;1955;840;708;0;843;1019;1293;1927;821;0;0;16;593;0;258;393;0;0;0;0;0;0;14363;477;465;0;0;0;942
"";"NEO1.1";277;405;242;8;7;0;14;11;73;329;14;0;0;132;0;0;0;7;0;0;0;0;0;0;1519;0;21;0;0;0;21
"";"NEO1.1.1";453;30;4;1;0;0;0;0;5;11;0;0;0;107;0;0;0;0;0;0;0;0;0;0;611;1;0;0;0;0;1
"";"NEO1.1.1.1";63;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0
"(Radio-)Onkologie";"ONK1";287;133;92;31;2;0;6;22;6;2;28;34;0;78;16;0;3;39;0;0;0;0;0;0;779;35;6;4;0;0;45
"";"RAO1";278;201;201;83;1;0;5;2;1;7;7;0;0;4;26;0;0;0;0;0;24;0;0;0;840;2;1;0;0;0;3
"";"NUK1";178;72;97;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366;0;0;0;0;0;0
"Schwere Verletzungen";"UNF1";133;32;18;4;1;0;3;6;7;4;3;2;0;14;3;3;4;0;0;0;0;0;1;0;238;1;0;0;0;0;1
"";"UNF1.1";125;44;18;6;9;0;10;10;11;6;4;10;0;33;4;6;5;1;0;0;0;0;0;0;302;0;0;1;0;0;1
"";"UNF2";43;0;1;0;0;0;2;0;2;1;0;0;0;23;0;0;0;0;0;0;0;0;0;0;72;1;0;0;0;0;1
"Total";;43018;27914;24717;18799;7225;2577;10318;11427;10542;10731;10427;8680;7798;8313;8090;5277;3379;1868;1540;897;1333;810;217;125;226022;6058;4192;1399;1573;88;13310
