"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"HNO1.3";40;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;1;0;0;0;1;0;1
"";"HNO1.3.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.3.2";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"HNO2";9;104;2;8;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;133;0;0;0;2;0;2;4;6
"";"KIE1";7;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;37;0;0;1;2;0;3;0;1
"Neurochirurgie";"NCH1";39;83;0;11;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;143;1;0;0;0;0;1;0;5
"";"NCH1.1";3;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"NCH1.1.1";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;1
"";"NCH1.1.1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NCH1.1.2";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH3";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
"Neurologie";"NEU1";6;86;0;1;0;0;3;1;0;0;4;0;0;6;0;0;0;0;0;2;0;0;0;109;0;0;1;0;0;1;4;8
"";"NEU2";0;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;1;0;0;1;0;6
"";"NEU2.1";3;11;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1
"";"NEU3";18;383;0;8;0;0;5;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;420;0;0;1;0;0;1;14;18
"";"NEU3.1";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1
"";"NEU4";4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;29;0;0;0;34;0;0;0;0;0;0;0;1
"";"NEU4.1";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;16;0;0;0;0;0;0;0;
"";"NEU4.2";3;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;22;0;0;0;36;0;0;0;0;0;0;0;1
"Ophthalmologie";"AUG1";10;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;1;0;0;0;0;1;0;1
"";"AUG1.1";6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;
"";"AUG1.2";3;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;1;0;2;0;10
"";"AUG1.3";10;57;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;11;0;0;0;0;11;0;7
"";"AUG1.4";1;228;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;1;0;0;0;0;1;0;2
"";"AUG1.5";93;70;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;189;0;0;0;0;0;0;0;14
"Endokrinologie";"END1";6;155;0;2;0;0;4;0;0;0;3;0;0;7;0;1;0;0;0;0;0;0;0;178;0;0;2;0;0;2;7;3
"Gastroenterologie";"GAE1";28;620;5;15;0;0;13;1;4;0;10;2;0;5;0;0;0;1;0;0;0;0;0;704;2;1;3;0;0;6;24;26
"";"GAE1.1";5;121;1;1;0;0;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;133;0;0;2;0;0;2;0;2
"Viszeralchirugie";"VIS1";22;411;0;19;3;0;3;1;4;0;5;2;0;15;1;0;0;0;0;0;0;0;0;486;1;2;10;3;0;16;29;14
"";"VIS1.1";0;20;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;
"";"VIS1.2";0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;1
"";"VIS1.3";1;11;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;
"";"VIS1.4";2;0;0;4;0;0;0;8;0;0;22;0;0;0;20;0;0;0;0;0;0;0;0;56;0;0;1;0;0;1;18;12
"";"VIS1.4.1";5;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;5
"";"VIS1.5";3;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;2
"Hämatologie";"HAE1";18;28;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;70;0;0;1;0;0;1;1;1
"";"HAE1.1";11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"HAE2";35;148;3;5;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;194;0;0;3;0;0;3;5;13
"";"HAE3";3;32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;2
"";"HAE4";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"HAE5";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"Gefässe";"GEF1";2;48;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;1;1;1;0;0;3;0;5
"";"ANG1";11;127;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;145;2;1;0;0;0;3;2;1
"";"GEFA";30;142;1;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;182;3;2;0;0;0;5;0;5
"";"GEF3";1;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;1;0;0;0;0;1;0;1
"";"ANG3";7;17;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;
"";"RAD1";5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;1;0;1;0;3
"Herz";"HER1";3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;1;0;
"";"HER1.1";5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1
"";"HER1.1.1";6;0;33;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;1;0;0;0;0;1;0;1
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HER1.1.3";1;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;1;0;
"";"HER1.1.4";14;0;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;0;0;0;0;2;0;1
"";"HER1.1.5";13;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;
"";"KAR1";10;91;2;7;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;115;0;0;0;0;0;0;0;
"";"KAR1.1";50;573;18;44;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;686;8;3;0;0;0;11;0;29
"";"KAR1.1.1";34;10;2;18;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;68;9;0;0;0;0;9;0;4
"";"KAR1.2";14;63;3;14;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0;103;6;0;0;0;0;6;0;
"";"KAR1.3";11;21;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;37;1;1;0;0;0;2;0;1
"Nephrologie";"NEP1";7;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;5;4
"Urologie";"URO1";33;828;4;84;0;6;51;0;2;5;12;3;0;10;2;3;0;0;0;0;18;0;0;1061;3;5;75;1;0;84;32;128
"";"URO1.1";5;100;1;12;0;0;2;0;0;0;2;0;0;13;0;1;0;0;0;0;0;0;0;136;0;1;14;0;0;15;5;14
"";"URO1.1.1";2;43;1;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;73;0;0;0;0;0;0;3;4
"";"URO1.1.2";0;18;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;1
"";"URO1.1.3";0;29;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;1;1
"";"URO1.1.4";0;9;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;1;
"";"URO1.1.7";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
"";"URO1.1.8";2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2
"Pneumologie";"PNE1";14;191;1;0;0;0;9;0;8;1;1;0;0;13;1;0;0;0;0;0;0;0;0;239;1;1;4;0;0;6;8;24
"";"PNE1.1";0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2
"";"PNE1.2";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;
"";"PNE1.3";0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2
"";"PNE2";4;27;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;3
"Thoraxchirurgie";"THO1";5;27;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;
"";"THO1.1";1;34;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;
"";"THO1.2";1;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"TPL3";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"TPL4";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"TPL5";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";28;450;2;12;0;1;12;1;1;2;8;16;59;3;2;44;0;0;21;0;0;1;0;663;19;4;71;4;0;98;23;78
"";"BEW2";4;117;0;1;0;0;3;0;0;1;0;10;36;5;0;8;0;0;12;0;0;3;0;200;10;1;17;1;0;29;6;23
"";"BEW3";4;182;2;2;0;1;5;1;0;0;2;2;12;3;5;8;0;0;4;0;0;0;0;233;1;0;4;4;0;9;8;18
"";"BEW4";0;28;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;37;1;0;3;0;0;4;3;6
"";"BEW5";2;107;1;23;0;1;10;0;4;0;2;10;21;0;0;18;0;0;0;0;0;1;0;200;2;10;111;3;0;126;5;47
"";"BEW6";0;217;2;5;0;3;24;0;1;3;4;0;53;0;2;19;0;1;2;0;0;4;0;340;0;9;24;0;0;33;12;29
"";"BEW7";0;37;3;2;0;0;2;0;0;0;1;1;3;1;0;6;0;0;0;0;0;1;0;57;0;1;11;1;0;13;1;8
"";"BEW7.1";0;342;2;7;0;1;12;0;1;2;5;0;37;0;1;13;0;0;0;0;0;0;0;423;0;5;33;1;0;39;26;17
"";"BEW7.1.1";1;45;0;4;0;0;0;0;0;0;1;0;4;0;0;2;0;0;0;0;0;0;0;57;0;1;1;0;0;2;1;2
"";"BEW7.2";0;241;0;16;0;3;13;0;3;0;9;0;41;0;0;12;0;0;0;0;0;0;0;338;0;5;80;2;0;87;19;47
"";"BEW7.2.1";0;14;0;3;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0;0;0;1;0;24;0;1;10;1;0;12;0;7
"";"BEW8";6;326;6;30;1;2;0;0;0;43;0;0;54;3;2;42;1;0;0;0;0;0;0;516;7;3;50;0;0;60;0;94
"";"BEW8.1";1;11;0;1;0;0;0;0;0;6;0;0;3;3;0;6;0;0;0;0;0;0;0;31;1;0;1;0;0;2;0;1
"";"BEW9";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"BEW10";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Rheumatologie";"RHE1";3;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;2;0;0;2;3;2
"";"RHE2";10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;1;
"Gynäkologie";"GYN1";38;351;5;8;2;2;10;1;3;7;18;0;0;3;2;0;0;2;0;0;1;0;0;453;6;5;17;2;0;30;44;60
"";"GYNT";5;49;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;1;0;1;0;0;2;3;2
"";"GYN2";6;141;0;13;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;168;0;4;10;2;0;16;6;8
"";"PLC1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;5
"Geburtshilfe";"GEB1";66;1587;10;24;5;0;109;3;45;103;63;0;0;0;1;0;0;19;0;0;0;0;0;2035;5;31;0;0;0;36;76;224
"";"GEB1.1";5;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;28;0;0;0;0;0;0;0;
"";"GEB1.1.1";9;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;
"Neugeborene";"NEO1";34;1258;6;24;4;0;95;4;46;74;46;0;0;0;1;0;0;18;0;0;0;0;0;1610;5;27;0;0;0;32;66;194
"";"NEO1.1";12;212;4;0;1;0;1;0;4;17;2;0;0;4;0;0;0;0;0;0;0;0;0;257;0;3;0;0;0;3;1;3
"";"NEO1.1.1";10;16;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;7
"";"NEO1.1.1.1";5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";5;94;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0;1;5
"";"RAO1";16;83;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0;0;0;0;0;3
"";"NUK1";12;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;18
"Schwere Verletzungen";"UNF1";7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;1;6
"";"UNF1.1";2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;5
"";"UNF2";5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1
"Total";;1541;19515;242;628;30;25;558;43;249;303;349;79;341;378;61;211;4;49;203;66;26;12;6;24919;131;151;864;50;2;1198;788;2371
