"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"";"NCH3";18;6;2;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;31;1;0;0;1;0;2
"Neurologie";"NEU1";183;108;69;79;19;0;56;56;34;20;56;25;0;93;32;0;9;0;75;0;0;1;1;916;6;0;1;0;0;7
"";"NEU2";73;18;19;14;5;0;14;11;9;5;18;12;0;2;9;0;5;0;0;0;0;0;0;214;2;3;0;0;0;5
"";"NEU2.1";72;17;5;26;0;0;2;3;11;6;8;13;0;105;1;0;8;0;0;0;0;1;0;278;0;0;0;0;0;0
"";"NEU3";883;468;440;371;86;0;148;238;120;67;148;141;0;48;68;3;30;0;0;0;0;7;1;3267;8;2;1;0;0;11
"";"NEU3.1";139;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186;0;0;0;0;0;0
"";"NEU4";69;0;0;23;0;0;0;0;0;0;0;0;0;2;0;0;0;0;309;0;0;0;0;403;0;0;0;0;0;0
"";"NEU4.1";37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;149;0;0;0;0;0;0
"";"NEU4.2";64;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0;0;0;412;0;0;0;0;616;0;0;0;0;0;0
"Ophthalmologie";"AUG1";162;81;84;1;0;0;0;3;1;0;0;0;0;3;0;0;0;10;0;0;0;0;0;345;7;0;0;10;0;17
"";"AUG1.1";38;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;58;0;0;0;0;0;0
"";"AUG1.2";55;8;17;2;0;0;0;1;0;1;0;0;0;1;1;0;0;10;0;0;0;0;0;96;4;1;3;24;11;43
"";"AUG1.3";108;171;134;0;0;0;0;0;0;0;0;0;0;1;0;0;0;64;0;0;0;0;0;478;58;0;0;12;0;70
"";"AUG1.4";82;302;209;91;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;0;0;694;52;0;0;41;0;93
"";"AUG1.5";1052;136;324;1;0;0;0;0;0;0;0;1;0;1;0;0;1;9;0;0;0;0;0;1525;26;0;0;1;0;27
"Endokrinologie";"END1";224;187;87;48;46;1;123;52;57;26;131;118;1;125;47;6;31;0;0;0;0;1;2;1313;7;1;0;0;0;8
"Gastroenterologie";"GAE1";797;793;656;543;195;0;403;400;356;230;291;363;0;153;256;0;74;0;0;0;0;0;3;5513;181;19;3;0;0;203
"";"GAE1.1";220;162;139;116;17;0;28;93;94;45;137;84;0;2;35;0;4;0;0;0;0;0;1;1177;41;10;0;0;0;51
"Viszeralchirugie";"VIS1";594;475;367;484;128;3;109;237;182;89;171;106;0;104;140;0;4;2;0;0;0;0;0;3195;103;81;23;34;0;241
"";"VIS1.1";60;41;48;46;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;196;7;0;0;0;0;7
"";"VIS1.2";55;51;26;39;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;7;0;0;0;0;7
"";"VIS1.3";27;24;15;33;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;106;1;0;0;0;0;1
"";"VIS1.4";71;1;82;125;1;0;0;221;0;0;104;0;0;0;125;0;0;0;0;0;0;0;0;730;0;0;1;1;0;2
"";"VIS1.4.1";40;0;2;33;0;0;0;96;1;0;24;0;0;0;0;0;0;0;0;0;0;0;0;196;0;0;0;0;0;0
"";"VIS1.5";32;55;21;31;0;0;4;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;152;4;2;0;1;0;7
"Hämatologie";"HAE1";374;46;30;14;9;0;18;3;3;3;8;12;0;220;2;0;4;0;0;0;0;0;0;746;4;1;0;1;0;6
"";"HAE1.1";143;3;0;4;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;172;0;0;0;0;0;0
"";"HAE2";731;186;164;185;35;0;83;44;77;34;77;114;0;22;34;3;24;0;0;0;0;8;1;1822;40;7;1;3;0;51
"";"HAE3";74;24;17;20;12;0;24;14;16;7;9;29;0;8;11;1;5;0;0;0;0;1;0;272;13;1;0;0;0;14
"";"HAE4";89;0;11;39;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;152;0;0;0;0;0;0
"";"HAE5";66;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0
"Gefässe";"GEF1";108;143;66;92;1;0;0;26;0;0;2;1;1;2;0;9;0;0;0;0;0;0;0;451;29;8;0;1;0;38
"";"ANG1";479;221;109;143;17;0;1;38;21;5;1;59;1;3;7;1;0;0;0;0;0;0;0;1106;104;42;0;0;0;146
"";"GEFA";610;309;147;286;1;0;0;9;4;2;0;20;0;30;1;0;0;0;0;0;0;0;1;1420;63;17;0;1;0;81
"";"GEF3";88;40;38;79;0;0;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;8;0;0;0;0;8
"";"ANG3";91;29;15;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;1;0;0;0;0;1
"";"RAD1";81;44;37;153;4;0;10;5;5;3;4;13;0;3;0;2;40;0;0;0;0;0;0;404;7;1;0;9;0;17
"Herz";"HER1";18;0;21;14;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;57;5;1;0;0;0;6
"";"HER1.1";70;1;24;9;0;0;0;0;0;0;1;0;0;58;0;0;0;0;0;0;0;0;0;163;5;0;0;1;0;6
"";"HER1.1.1";252;0;250;253;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;756;55;0;0;0;0;55
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0
"";"HER1.1.3";70;0;31;20;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;204;7;0;0;0;0;7
"";"HER1.1.4";128;0;161;176;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;471;39;0;0;0;0;39
"";"HER1.1.5";67;0;147;165;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;390;33;0;0;0;0;33
"";"KAR1";205;97;249;173;0;0;29;55;22;26;31;58;0;9;7;0;0;0;0;0;0;0;0;961;97;5;0;8;0;110
"";"KAR1.1";1663;826;1863;1503;4;0;18;7;2;5;33;8;0;43;7;0;1;0;0;0;0;0;0;5983;513;118;0;0;0;631
"";"KAR1.1.1";561;16;274;417;2;0;0;0;0;0;1;1;0;87;3;0;0;0;0;0;0;0;0;1362;192;1;0;0;0;193
"";"KAR1.2";418;123;355;442;0;0;0;0;0;0;111;0;0;56;1;0;0;0;0;0;0;0;0;1506;399;8;0;0;0;407
"";"KAR1.3";241;43;94;68;0;0;0;0;0;0;17;0;0;2;0;0;0;0;0;0;0;0;0;465;32;1;0;0;0;33
"Nephrologie";"NEP1";204;97;61;57;17;0;14;23;6;50;31;84;0;5;16;1;0;0;0;0;0;0;2;668;26;0;2;0;0;28
"Urologie";"URO1";1113;1314;962;959;194;523;664;547;90;276;410;366;0;166;475;64;131;2;0;995;1;0;1;9253;251;238;87;23;0;599
"";"URO1.1";193;159;112;158;16;18;67;108;5;109;49;18;0;134;59;1;0;0;0;139;0;0;0;1345;13;27;21;5;0;66
"";"URO1.1.1";72;92;85;285;0;4;39;39;0;0;0;0;0;0;106;0;0;0;0;105;0;0;0;827;2;27;1;0;0;30
"";"URO1.1.2";32;25;22;37;1;0;1;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;130;2;2;0;1;0;5
"";"URO1.1.3";36;38;23;37;0;0;15;18;0;0;0;1;0;3;24;0;0;0;0;0;0;0;0;195;1;5;0;0;0;6
"";"URO1.1.4";25;27;6;19;0;0;2;1;4;0;1;0;0;3;0;0;0;0;0;0;0;0;0;88;2;2;0;0;0;4
"";"URO1.1.7";16;12;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;54;0;2;0;0;0;2
"";"URO1.1.8";22;9;14;6;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;19;0;0;0;75;0;0;0;0;0;0
"Pneumologie";"PNE1";607;290;299;65;86;0;148;124;181;47;122;155;1;103;90;2;5;0;0;0;0;3;2;2330;79;4;2;0;0;85
"";"PNE1.1";25;5;3;0;0;0;0;0;4;0;2;0;0;0;0;0;1;0;1;0;0;0;0;41;0;0;0;0;0;0
"";"PNE1.2";628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;628;0;0;0;0;0;0
"";"PNE1.3";27;2;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0
"";"PNE2";56;40;0;1;0;0;4;0;8;0;8;0;0;72;0;0;0;0;8;0;0;0;0;197;1;0;0;0;0;1
"Thoraxchirurgie";"THO1";90;50;31;28;0;0;0;2;3;3;4;1;0;17;5;0;0;0;0;0;0;0;0;234;3;9;0;2;0;14
"";"THO1.1";116;86;69;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;6;14;0;0;0;20
"";"THO1.2";63;19;17;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;5;4;0;1;0;10
"Transplantationen";"TPL1";10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
"";"TPL2";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0
"";"TPL3";58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0
"";"TPL4";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
"";"TPL5";73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
"Bewegungsapparat chirurgisch";"BEW1";620;787;365;464;130;155;299;313;231;176;166;260;1270;202;236;1389;51;61;0;0;135;1;2;7313;260;152;120;138;0;670
"";"BEW2";112;168;77;98;22;66;65;82;47;61;34;121;652;94;73;258;17;49;0;0;47;1;6;2150;87;48;32;36;0;203
"";"BEW3";136;252;84;39;9;1;30;103;60;10;29;29;117;60;38;96;3;40;0;0;1;0;0;1137;53;35;28;105;0;221
"";"BEW4";1;8;3;8;0;10;13;2;1;0;1;2;43;0;2;33;0;0;0;0;19;0;0;146;11;5;2;1;0;19
"";"BEW5";57;209;88;596;22;133;78;86;77;23;31;134;595;9;68;519;18;7;0;0;109;0;0;2859;88;270;182;86;0;626
"";"BEW6";25;254;82;241;29;291;291;218;90;128;90;52;1163;3;171;691;34;12;0;0;178;0;0;4043;61;224;67;28;0;380
"";"BEW7";4;71;35;44;0;15;30;13;4;1;8;9;125;23;9;173;1;0;0;0;80;0;0;645;22;56;11;13;0;102
"";"BEW7.1";58;427;136;255;15;226;131;120;182;75;181;100;1198;0;135;406;0;0;0;0;18;0;0;3663;60;174;92;16;0;342
"";"BEW7.1.1";15;73;12;39;5;11;10;8;16;17;11;5;95;0;10;114;0;0;0;0;0;0;0;441;6;32;2;2;0;42
"";"BEW7.2";0;298;146;314;9;277;130;159;126;85;164;2;869;1;167;313;3;0;0;0;41;0;0;3104;66;220;162;64;0;512
"";"BEW7.2.1";0;26;2;31;0;12;7;17;4;4;10;0;86;0;12;102;0;0;0;0;3;0;0;316;3;44;12;22;0;81
"";"BEW8";313;434;404;921;105;50;0;0;1;578;0;2;1263;12;66;1050;2;0;0;0;0;0;0;5201;340;142;93;4;0;579
"";"BEW8.1";38;13;3;66;4;1;0;0;0;79;0;0;68;12;1;104;0;0;0;0;0;0;0;389;31;6;3;1;0;41
"";"BEW9";5;1;0;2;0;0;0;0;0;0;0;0;0;3;0;13;0;0;0;0;0;0;0;24;0;0;0;0;0;0
"";"BEW10";6;1;0;0;0;0;0;0;0;0;0;0;3;2;0;14;0;0;0;0;0;0;0;26;1;2;1;60;0;64
"";"BEW11";3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
"Rheumatologie";"RHE1";225;86;45;18;23;7;27;38;33;18;35;46;10;20;19;55;10;0;0;0;0;1;1;717;5;2;2;2;0;11
"";"RHE2";180;23;15;0;2;0;3;2;0;5;4;7;0;22;1;0;1;0;0;0;0;0;0;265;2;1;0;0;0;3
"Gynäkologie";"GYN1";971;425;542;450;319;153;118;400;185;331;300;3;0;35;199;1;1;6;0;14;2;0;0;4455;194;186;14;72;0;466
"";"GYNT";97;51;64;68;1;1;1;20;26;27;26;0;0;1;1;0;0;0;0;0;0;0;0;384;3;9;0;1;0;13
"";"GYN2";168;193;127;400;1;85;0;48;62;108;75;0;0;0;59;0;0;0;0;0;0;0;0;1326;79;88;7;118;0;292
"";"PLC1";55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;114;0;0;0;0;0;0
"Geburtshilfe";"GEB1";2976;2078;2674;1130;956;0;967;1202;1528;2622;1030;2;0;0;664;0;2;0;0;0;0;0;0;17831;543;523;0;3;0;1069
"";"GEB1.1";179;44;7;1;0;0;0;2;8;7;2;0;0;0;1;0;0;0;0;0;0;0;0;251;1;0;0;0;0;1
"";"GEB1.1.1";124;2;5;0;0;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0
"Neugeborene";"NEO1";2054;1550;2163;1077;820;0;863;1020;1280;2130;836;0;0;22;573;0;0;0;0;0;0;0;0;14388;528;500;0;0;0;1028
"";"NEO1.1";460;445;275;6;18;0;5;6;139;362;11;0;0;122;4;0;0;0;0;0;0;0;0;1853;1;11;0;0;0;12
"";"NEO1.1.1";246;34;7;1;0;0;0;0;3;13;0;0;0;125;0;0;0;0;0;0;0;0;0;429;1;1;0;0;0;2
"";"NEO1.1.1.1";88;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0
"(Radio-)Onkologie";"ONK1";247;137;52;29;1;0;15;29;5;5;11;28;0;109;8;0;3;0;0;0;0;0;0;679;15;21;0;0;0;36
"";"RAO1";260;184;226;93;0;0;2;2;0;4;1;0;0;16;30;0;0;0;0;43;0;0;0;861;0;1;0;0;0;1
"";"NUK1";106;87;104;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339;0;0;0;0;0;0
"Schwere Verletzungen";"UNF1";130;31;15;2;4;0;4;9;6;2;2;5;1;10;1;3;1;0;0;0;0;0;0;226;0;0;2;0;0;2
"";"UNF1.1";183;46;19;5;10;0;4;14;12;4;16;21;1;18;4;2;4;0;0;0;0;0;1;364;0;1;1;1;0;3
"";"UNF2";68;3;3;0;0;0;0;1;0;1;0;2;0;22;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0
"Total";;39466;28048;25034;19294;7027;2567;9921;12054;10251;11558;10011;8235;8004;8030;8164;6176;2510;1846;931;1475;803;196;179;221780;6268;4150;1436;1567;66;13487
