"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"";"GAE1.1";4;0;1;15;1;0;0;0;0;4;1;0;0;0;34;0;0;0;0;0;0;0;0;60;1;0;0;0;0;1;0;
"Viszeralchirugie";"VIS1";20;0;5;44;2;0;0;0;0;10;1;0;0;3;55;0;0;0;0;0;0;0;0;140;2;6;0;1;0;9;0;4
"";"VIS1.1";3;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"VIS1.2";5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;1;0;1
"";"VIS1.3";2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"VIS1.4";3;0;0;3;0;0;0;1;0;0;4;0;0;0;14;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;1
"";"VIS1.4.1";0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"VIS1.5";2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"Hämatologie";"HAE1";5;0;0;1;0;0;0;0;0;0;0;0;0;13;3;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;
"Haematologie";"HAE1.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;2
"Hämatologie";"HAE2";32;0;0;17;0;0;0;0;0;2;5;2;0;0;28;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;
"";"HAE3";1;0;0;1;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;1;10;1;0;0;0;0;1;0;
"";"HAE4";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"HAE5";2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"Gefässe";"GEF1";7;1;1;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19;0;2;0;0;0;2;0;1
"";"ANG1";45;0;0;13;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;61;3;5;0;0;0;8;0;4
"";"GEFA";37;0;0;18;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;58;0;1;0;0;0;1;0;5
"";"GEF3";3;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;0;0;1;0;
"";"ANG3";1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"RAD1";7;1;1;16;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;
"Herz";"HER1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"HER1.1";2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1
"";"HER1.1.1";7;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;0;1;0;
"";"HER1.1.2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"HER1.1.3";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1
"";"HER1.1.4";6;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;
"";"HER1.1.5";1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"KAR1";13;0;2;16;0;0;0;0;0;3;2;0;0;0;7;0;0;0;0;0;0;0;0;43;2;5;0;0;0;7;0;1
"";"KAR1.1";84;1;9;140;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;246;14;13;0;0;0;27;0;3
"";"KAR1.1.1";12;0;3;21;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;40;6;0;0;0;0;6;0;2
"";"KAR1.2";21;0;1;30;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;57;11;0;0;0;0;11;0;
"";"KAR1.3";12;0;1;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;1;0;0;0;0;1;0;
"Nephrologie";"NEP1";4;0;0;1;0;0;0;0;0;13;0;0;0;0;11;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;3
"Urologie";"URO1";55;7;5;110;0;4;10;1;0;34;8;2;0;6;338;0;0;0;0;0;15;0;0;595;4;19;0;0;0;23;0;21
"";"URO1.1";7;2;1;11;0;0;0;0;0;13;1;0;0;2;20;0;0;0;0;0;7;0;0;64;1;4;0;0;0;5;0;3
"";"URO1.1.1";2;2;3;15;0;0;1;0;0;0;0;0;0;0;31;0;0;0;0;0;1;0;0;55;1;1;0;0;0;2;0;
"";"URO1.1.2";0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1
"";"URO1.1.3";2;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"URO1.1.4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"URO1.1.7";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"URO1.1.8";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"Pneumologie";"PNE1";24;0;1;9;0;0;1;0;0;5;2;0;0;9;49;0;0;0;0;0;0;0;2;102;3;0;0;0;0;3;0;3
"";"PNE1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"PNE1.2";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"PNE1.3";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"PNE2";2;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"Thoraxchirurgie";"THO1";2;2;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"THO1.1";10;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;0;1;0;1
"";"THO1.2";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"Transplantationen";"TPL1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"TPL3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"TPL4";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL5";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";22;2;6;47;0;2;2;0;0;11;2;0;62;8;97;51;0;0;1;0;0;0;0;313;6;8;0;18;0;32;0;21
"";"BEW2";5;1;0;11;0;1;0;0;0;3;1;1;25;8;25;5;0;0;0;0;0;0;0;86;5;4;2;10;0;21;0;4
"";"BEW3";12;1;2;5;0;0;1;0;0;1;1;0;7;3;26;4;0;0;1;0;0;0;0;64;4;0;0;24;0;28;0;5
"";"BEW4";0;0;0;3;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;10;0;2;0;0;0;2;0;1
"";"BEW5";2;0;0;56;0;3;0;0;1;4;0;1;35;1;22;16;0;0;0;0;0;0;0;141;1;12;0;5;0;18;0;16
"";"BEW6";0;1;0;20;0;6;5;0;0;11;2;0;48;0;31;24;0;0;0;0;0;1;0;149;4;9;0;1;0;14;0;23
"";"BEW7";0;1;0;3;0;0;0;0;0;0;2;0;3;1;1;5;0;3;0;0;0;0;0;19;0;1;0;0;0;1;0;2
"";"BEW7.1";0;0;1;34;0;3;0;0;0;13;0;1;66;0;65;18;0;0;0;0;0;0;0;201;3;11;0;1;0;15;1;5
"";"BEW7.1.1";0;1;0;3;0;0;0;0;0;2;0;0;1;0;4;5;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1
"";"BEW7.2";0;2;0;32;0;0;1;0;0;3;2;0;47;0;62;9;0;0;0;0;0;1;0;159;1;19;2;4;0;26;1;3
"";"BEW7.2.1";0;1;0;3;0;0;0;0;0;1;1;0;0;0;5;2;0;0;0;0;0;1;0;14;0;0;0;0;0;0;0;1
"";"BEW8";8;0;1;71;1;0;0;0;0;54;0;0;58;0;24;40;2;0;0;0;0;0;0;259;10;8;0;0;0;18;0;7
"";"BEW8.1";2;0;0;4;0;0;0;0;0;8;0;0;4;0;0;6;0;0;0;0;0;0;0;24;1;0;0;0;0;1;0;3
"";"BEW9";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"BEW10";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"BEW11";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Rheumatologie";"RHE1";3;0;1;1;0;0;1;0;0;7;0;0;0;2;13;4;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;2
"";"RHE2";8;0;0;0;0;0;0;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;
"Gynäkologie";"GYN1";22;0;6;78;3;1;1;1;0;18;9;0;0;3;94;0;0;1;0;0;0;0;0;237;10;14;0;7;0;31;0;7
"";"GYNT";11;0;0;10;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;3
"";"GYN2";2;0;1;44;0;3;0;0;0;6;6;0;0;0;40;0;0;0;0;0;0;0;0;102;3;9;0;7;0;19;0;2
"";"PLC1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;2
"Geburtshilfe";"GEB1";66;1;9;136;3;0;11;1;0;195;13;1;0;0;323;0;0;5;0;0;0;0;0;764;6;23;0;0;0;29;0;3
"";"GEB1.1";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"GEB1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Neugeborene";"NEO1";40;1;6;130;3;0;11;1;0;150;10;0;0;0;285;0;0;5;0;0;0;0;0;642;5;21;0;0;0;26;0;1
"";"NEO1.1";15;1;1;2;0;0;0;0;0;40;0;0;0;6;1;0;0;0;0;0;0;0;0;66;0;1;0;0;0;1;0;
"";"NEO1.1.1";11;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;
"";"NEO1.1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"(Radio-)Onkologie";"ONK1";8;0;0;5;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;19;1;0;0;0;0;1;0;
"";"RAO1";6;0;1;9;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;1
"";"NUK1";16;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;
"Schwere Verletzungen";"UNF1";5;1;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;2
"";"UNF1.1";8;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;2
"";"UNF2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Total";;1351;65;138;1993;27;27;80;15;7;1117;153;21;400;348;4446;221;3;21;24;28;24;3;19;10531;156;235;4;153;8;556;4;488
